Q7 - ranking de custo-beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 561 |          455.69 |         4712.50
      2024 |                 575 |          254.29 |         6949.20
      2025 |                 562 |          391.08 |        12292.90
      2026 |                 552 |           96.45 |         2516.20
(4 rows)


Tabela principal - top 30 por custo-beneficio
 ano_dados | id_deputado |           nome           | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
 GLOBAL    |      160635 | Ruy Carneiro                        | PB       | PODE          |  1770346.36 |             382 |                     1 |            453 |     654.3 |     0.00036958869449704746
 GLOBAL    |      220674 | Dra. Alessandra Haber               | PA       | PODE          |  1519722.50 |             314 |                     1 |            521 |     559.1 |     0.00036789611261266448
 GLOBAL    |      107283 | Gleisi Hoffmann                     | PR       | PT            |  1098114.52 |             253 |                     0 |            234 |     402.9 |     0.00036690162333888455
 GLOBAL    |       74095 | Pauderney Avelino                   | AM       | UNIAO         |   987902.04 |             212 |                     0 |            413 |     359.3 |     0.00036370002839552796
 GLOBAL    |      220592 | Zezinho Barbary                     | AC       | PP            |  1894558.05 |             397 |                     1 |            559 |     687.4 |     0.00036282868186593702
 GLOBAL    |      220597 | Thiago Flores                       | RO       | UNIAO         |  1771992.53 |             360 |                     1 |            646 |     640.6 |     0.00036151393933923638
 GLOBAL    |      204474 | Juarez Costa                        | MT       | REPUBLICANOS  |  1282427.13 |             254 |                     1 |            446 |     461.6 |     0.00035994247875900754
 GLOBAL    |      141456 | Jilmar Tatto                        | SP       | PT            |  1644573.39 |             352 |                     0 |            606 |     588.6 |     0.00035790436813525239
 GLOBAL    |      219585 | Marco Brasil                        | PR       | PP            |  1057690.06 |             180 |                     2 |            344 |     376.4 |     0.00035586984716486794
 GLOBAL    |      220567 | Jeferson Rodrigues                  | GO       | PSDB          |  1476683.09 |             318 |                     0 |            429 |     519.9 |     0.00035207283371816765
 GLOBAL    |      141464 | José Airton Félix Cirilo            | CE       | PT            |  1663975.80 |             337 |                     1 |            441 |     585.6 |     0.00035192819510956830
 GLOBAL    |      220603 | Dani Cunha                          | RJ       | PL            |  1665318.79 |             329 |                     1 |            528 |     582.3 |     0.00034966278138253637
 GLOBAL    |      204379 | Acácio Favacho                      | AP       | MDB           |  1816367.26 |             363 |                     1 |            487 |     629.2 |     0.00034640571532873809
 GLOBAL    |      220008 | Eliza Virgínia                      | PB       | PP            |   179732.24 |              38 |                     0 |             52 |      62.2 |     0.00034607035443390679
 GLOBAL    |      235712 | Vavá                                | MG       | AVANTE        |    11302.64 |               0 |                     0 |             39 |       3.9 |     0.00034505212941401301
 GLOBAL    |      204411 | Filipe Barros                       | PR       | PL            |  1587626.92 |             314 |                     1 |            396 |     546.6 |     0.00034428743498504044
 GLOBAL    |      220581 | Luciano Amaral                      | AL       | PSD           |  1820779.95 |             278 |                     4 |            658 |     626.8 |     0.00034424807896198549
 GLOBAL    |      178933 | Sergio Souza                        | PR       | MDB           |  1680103.61 |             299 |                     2 |            524 |     572.9 |     0.00034099087496157454
 GLOBAL    |      141411 | Dagoberto Nogueira                  | MS       | PP            |  1825059.25 |             343 |                     1 |            697 |     620.2 |     0.00033982458377721162
 GLOBAL    |      220584 | Murilo Galdino                      | PB       | REPUBLICANOS  |  1855737.37 |             325 |                     2 |            677 |     627.2 |     0.00033797885958399383
 GLOBAL    |      228941 | Daniel José                         | SP       | PODE          |   144400.00 |              29 |                     0 |             50 |      48.5 |     0.00033587257617728532
 GLOBAL    |      227370 | Felipe Saliba                       | MG       | PRD           |   146797.99 |              30 |                     0 |             38 |      48.8 |     0.00033242961977885392
 GLOBAL    |      209189 | Joseildo Ramos                      | BA       | PT            |  1779102.55 |             345 |                     0 |            738 |     591.3 |     0.00033235858157811083
 GLOBAL    |      204423 | André Ferreira                      | PE       | PL            |  1887413.70 |             367 |                     1 |            352 |     621.7 |     0.00032939254388160900
 GLOBAL    |      204567 | Raimundo Costa                      | BA       | PSD           |  1715362.92 |             323 |                     1 |            415 |     562.0 |     0.00032762746206499555
 GLOBAL    |      220575 | Sonize Barbosa                      | AP       | PL            |  1476152.56 |             273 |                     1 |            374 |     482.9 |     0.00032713420894653328
 GLOBAL    |       74537 | Claudio Cajado                      | BA       | PP            |  1552028.87 |             271 |                     1 |            630 |     505.5 |     0.00032570270422869131
 GLOBAL    |       74270 | Gilberto Nascimento                 | SP       | PODE          |  1619159.99 |             320 |                     0 |            459 |     525.9 |     0.00032479804543589297
 GLOBAL    |      160588 | Diego Andrade                       | MG       | PSD           |  1528635.16 |             275 |                     1 |            472 |     495.7 |     0.00032427619943008507
 GLOBAL    |      230088 | Dra. Mayra Pinheiro                 | CE       | PL            |   105982.73 |              19 |                     0 |             58 |      34.3 |     0.00032363763416926512
 GLOBAL    |      171786 | Miguel Ângelo                       | MG       | PT            |  1487613.06 |             265 |                     1 |            464 |     479.9 |     0.00032259732917375705
 GLOBAL    |       74079 | José Priante                        | PA       | MDB           |  1012970.90 |             169 |                     1 |            368 |     326.3 |     0.00032212179046801838
 GLOBAL    |      223128 | Rodrigo Estacho                     | PR       | PSD           |  1439474.62 |             245 |                     1 |            556 |     459.1 |     0.00031893580728780060
 GLOBAL    |      204376 | Coronel Armando                     | SC       | PP            |   181874.33 |              30 |                     0 |            114 |      56.4 |     0.00031010423516061887
 GLOBAL    |      208297 | Katia Dias                          | MG       | REPUBLICANOS  |   152277.87 |              27 |                     0 |             65 |      47.0 |     0.00030864629246521507
