id_deputado;tema;qtd_proposicoes
141391;Energia, Recursos Hídricos e Minerais;6
141391;Meio Ambiente e Desenvolvimento Sustentável;6
141391;Processo Legislativo e Atuação Parlamentar;6
141391;Direitos Humanos e Minorias;5
141391;Agricultura, Pecuária, Pesca e Extrativismo;4
141391;Defesa e Segurança;4
141391;Direito Constitucional;4
141391;Indústria, Comércio e Serviços;4
141391;Saúde;3
141391;Arte, Cultura e Religião;2
141391;Comunicações;2
141391;Direito Penal e Processual Penal;2
141391;Direito e Justiça;2
141391;Educação;2
141391;Estrutura Fundiária;2
141391;Homenagens e Datas Comemorativas;2
141391;Trabalho e Emprego;2
141391;Viação, Transporte e Mobilidade;2
141391;Cidades e Desenvolvimento Urbano;1
141391;Ciência, Tecnologia e Inovação;1
141391;Direito e Defesa do Consumidor;1
141391;Esporte e Lazer;1
141391;Política, Partidos e Eleições;1
141391;Previdência e Assistência Social;1
141391;Relações Internacionais e Comércio Exterior;1
141398;Finanças Públicas e Orçamento;13
141398;Direitos Humanos e Minorias;11
141398;Administração Pública;10
141398;Defesa e Segurança;10
141398;Indústria, Comércio e Serviços;10
141398;Energia, Recursos Hídricos e Minerais;6
141398;Trabalho e Emprego;5
141398;Ciência, Tecnologia e Inovação;4
141398;Comunicações;4
141398;Economia;4
141398;Viação, Transporte e Mobilidade;4
141398;Cidades e Desenvolvimento Urbano;3
141398;Direito Constitucional;3
141398;Esporte e Lazer;3
141398;Processo Legislativo e Atuação Parlamentar;3
141398;Arte, Cultura e Religião;2
141398;Direito e Defesa do Consumidor;2
141398;Direito e Justiça;2
141398;Meio Ambiente e Desenvolvimento Sustentável;2
141398;Política, Partidos e Eleições;2
141398;Previdência e Assistência Social;2
141398;Saúde;2
141398;Agricultura, Pecuária, Pesca e Extrativismo;1
141398;Direito Penal e Processual Penal;1
141398;Homenagens e Datas Comemorativas;1
141398;Relações Internacionais e Comércio Exterior;1
141408;Direitos Humanos e Minorias;18
141408;Finanças Públicas e Orçamento;17
141408;Trabalho e Emprego;14
141408;Administração Pública;13
141408;Previdência e Assistência Social;11
141408;Saúde;10
141408;Direito Constitucional;9
141408;Economia;8
141408;Meio Ambiente e Desenvolvimento Sustentável;7
141408;Processo Legislativo e Atuação Parlamentar;7
141408;Direito Penal e Processual Penal;6
141408;Defesa e Segurança;5
141408;Direito e Justiça;5
141408;Direito e Defesa do Consumidor;4
141408;Educação;4
141408;Esporte e Lazer;4
141408;Indústria, Comércio e Serviços;4
141408;Comunicações;3
141408;Relações Internacionais e Comércio Exterior;3
141408;Agricultura, Pecuária, Pesca e Extrativismo;2
141408;Arte, Cultura e Religião;2
141408;Cidades e Desenvolvimento Urbano;2
141408;Ciência, Tecnologia e Inovação;2
141408;Direito Civil e Processual Civil;2
141408;Viação, Transporte e Mobilidade;2
141408;Energia, Recursos Hídricos e Minerais;1
141408;Homenagens e Datas Comemorativas;1
141408;Política, Partidos e Eleições;1
141411;Administração Pública;20
141411;Direitos Humanos e Minorias;16
141411;Finanças Públicas e Orçamento;10
141411;Trabalho e Emprego;10
141411;Saúde;9
141411;Defesa e Segurança;7
141411;Educação;7
141411;Viação, Transporte e Mobilidade;7
141411;Direito Constitucional;6
141411;Direito Penal e Processual Penal;6
141411;Meio Ambiente e Desenvolvimento Sustentável;6
141411;Comunicações;4
141411;Direito e Justiça;3
141411;Economia;3
141411;Indústria, Comércio e Serviços;3
141411;Previdência e Assistência Social;3
141411;Energia, Recursos Hídricos e Minerais;2
141411;Homenagens e Datas Comemorativas;2
141411;Cidades e Desenvolvimento Urbano;1
141411;Direito e Defesa do Consumidor;1
141411;Processo Legislativo e Atuação Parlamentar;1
141411;Relações Internacionais e Comércio Exterior;1
141421;Direitos Humanos e Minorias;49
141421;Saúde;49
141421;Administração Pública;27
141421;Finanças Públicas e Orçamento;20
141421;Trabalho e Emprego;17
141421;Direito Penal e Processual Penal;16
141421;Indústria, Comércio e Serviços;15
141421;Previdência e Assistência Social;15
141421;Defesa e Segurança;14
141421;Direito e Defesa do Consumidor;12
141421;Economia;11
141421;Energia, Recursos Hídricos e Minerais;9
141421;Processo Legislativo e Atuação Parlamentar;9
141421;Educação;8
141421;Viação, Transporte e Mobilidade;7
141421;Comunicações;6
141421;Direito Constitucional;6
141421;Ciência, Tecnologia e Inovação;5
141421;Direito e Justiça;5
141421;Arte, Cultura e Religião;4
141421;Cidades e Desenvolvimento Urbano;3
141421;Meio Ambiente e Desenvolvimento Sustentável;3
141421;Direito Civil e Processual Civil;2
141421;Agricultura, Pecuária, Pesca e Extrativismo;1
141421;Esporte e Lazer;1
141421;Estrutura Fundiária;1
