idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2162116-161;227991;Não;Dr Flávio;PL;RJ
2162116-161;220614;Sim;Dr. Daniel Soranz;PSD;RJ
2162116-161;220688;Não;Dr. Francisco;PT;PI
2162116-161;204518;Não;Dr. Frederico;PRD;MG
2162116-161;220570;Não;Dr. Ismael Alexandrino;PSD;GO
2162116-161;204481;Não;Dr. Jaziel;PL;CE
2162116-161;204351;Não;Dr. Luiz Ovando;PP;MS
2162116-161;220528;Não;Dr. Victor Linhalis;PODE;ES
2162116-161;204412;Sim;Dr. Zacharias Calil;UNIÃO;GO
2162116-161;220674;Não;Dra. Alessandra Haber;MDB;PA
2162116-161;220686;Não;Duarte Jr.;AVANTE;MA
2162116-161;220623;Não;Duda Salabert;PDT;MG
