idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2572994-8;204419;Sim;Glaustin da Fokus;PODE;GO
2572994-8;198197;Sim;Greyce Elias;AVANTE;MG
2572994-8;220664;Sim;Guilherme Uchoa;PSB;PE
2572994-8;220568;Sim;Gustavo Gayer;PL;GO
2572994-8;204408;Sim;Gustinho Ribeiro;REPUBLICANOS;SE
2572994-8;204456;Sim;Gutemberg Reis;MDB;RJ
2572994-8;178873;Sim;Helder Salomão;PT;ES
2572994-8;234788;Não;Heloísa Helena;REDE;RJ
2572994-8;204539;Sim;Hercílio Coelho Diniz;MDB;MG
2572994-8;178884;Sim;Hildo Rocha;MDB;MA
2572994-8;141450;Não;Hugo Leal;PSD;RJ
2572994-8;220563;Sim;Icaro de Valmir;PL;SE
2572994-8;204508;Sim;Igor Timo;PSD;MG
2572994-8;73531;Não;Ivan Valente;PSOL;SP
2572994-8;220696;Sim;Ivoneide Caetano;PT;BA
2572994-8;220670;Sim;Iza Arruda;MDB;PE
2572994-8;220697;Sim;Jadyel Alencar;REPUBLICANOS;PI
2572994-8;74848;Não;Jandira Feghali;PCDOB;RJ
2572994-8;74273;Sim;Jefferson Campos;PL;SP
2572994-8;141456;Sim;Jilmar Tatto;PT;SP
2572994-8;141458;Não;João Carlos Bacelar;PL;BA
2572994-8;230957;Sim;João Cury;MDB;SP
2572994-8;141459;Sim;João Maia;PP;RN
2572994-8;160548;Sim;Jonas Donizette;PSB;SP
2572994-8;205550;Sim;Jorge Braz;REPUBLICANOS;RJ
2572994-8;178857;Não;Jorge Solla;PT;BA
2572994-8;141464;Sim;José Airton Félix Cirilo;PT;CE
2572994-8;141470;Sim;José Guimarães;PT;CE
2572994-8;204472;Sim;José Medeiros;PL;MT
2572994-8;209189;Sim;Joseildo Ramos;PT;BA
2572994-8;220578;Sim;Josenildo;PDT;AP
2572994-8;215043;Sim;Josivaldo JP;PSD;MA
2572994-8;220559;Sim;Julia Zanatta;PL;SC
2572994-8;220640;Sim;Juliana Cardoso;PT;SP
2572994-8;66385;Sim;Julio Arcoverde;PP;PI
2572994-8;74317;Sim;Júlio Cesar;PSD;PI
2572994-8;204372;Sim;Julio Cesar Ribeiro;REPUBLICANOS;DF
2572994-8;204457;Sim;Juninho do Pneu;UNIÃO;RJ
2572994-8;204520;Sim;Junio Amaral;PL;MG
2572994-8;204497;Sim;Júnior Ferrari;PSD;PA
2572994-8;204574;Sim;Junior Lourenço;PL;MA
2572994-8;162067;Sim;Kiko Celeguim;PT;SP
2572994-8;204536;Sim;Kim Kataguiri;UNIÃO;SP
2572994-8;220566;Sim;Lêda Borges;PSDB;GO
2572994-8;231911;Sim;Lenir de Assis;PT;PR
2572994-8;80815;Sim;Leo Prates;PDT;BA
2572994-8;74299;Sim;Leônidas Cristino;PDT;CE
2572994-8;139285;Sim;Lídice da Mata;PSB;BA
2572994-8;74585;Sim;Lincoln Portela;PL;MG
2572994-8;74858;Sim;Lindbergh Farias;PT;RJ
2572994-8;220662;Sim;Lucas Ramos;PSB;PE
2572994-8;204404;Sim;Lucas Redecker;PSDB;RS
2572994-8;220581;Sim;Luciano Amaral;PSD;AL
2572994-8;178931;Sim;Luciano Ducci;PSB;PR
2572994-8;178954;Sim;Lucio Mosquini;MDB;RO
2572994-8;222429;Sim;Luis Carlos Gomes;REPUBLICANOS;RJ
2572994-8;160510;Sim;Luis Tibé;AVANTE;MG
2572994-8;204410;Sim;Luisa Canziani;PSD;PR
2572994-8;141485;Sim;Luiz Carlos Busato;UNIÃO;RS
2572994-8;204485;Sim;Luiz Carlos Motta;PL;SP
2572994-8;74041;Sim;Luiz Couto;PT;PB
2572994-8;141487;Não;Luiz Fernando Faria;PSD;MG
2572994-8;204455;Sim;Luiz Lima;NOVO;RJ
2572994-8;74784;Não;Luiza Erundina;PSOL;SP
2572994-8;178866;Sim;Luizianne Lins;PT;CE
2572994-8;220669;Sim;Lula da Fonte;PP;PE
2572994-8;166402;Sim;Magda Mofatto;PRD;GO
2572994-8;220648;Sim;Marangoni;UNIÃO;SP
2572994-8;156190;Sim;Marcel van Hattem;NOVO;RS
2572994-8;179000;Sim;Marcelo Álvaro Antônio;PL;MG
2572994-8;220599;Sim;Marcelo Crivella;REPUBLICANOS;RJ
2572994-8;133810;Sim;Marcelo Moraes;PL;RS
2572994-8;179001;Não;Márcio Biolchi;MDB;RS
2572994-8;220687;Sim;Márcio Honaiser;PDT;MA
2572994-8;81055;Sim;Márcio Jerry;PCDOB;MA
2572994-8;204431;Sim;Marcos Aurélio Sampaio;PSD;PI
2572994-8;204506;Sim;Marcos Pereira;REPUBLICANOS;SP
2572994-8;220547;Sim;Marcos Pollon;PL;MS
2572994-8;220604;Sim;Marcos Tavares;PDT;RJ
2572994-8;220668;Sim;Maria Arraes;SOLIDARIEDADE;PE
2572994-8;74398;Sim;Maria do Rosário;PT;RS
2572994-8;204540;Sim;Maria Rosas;REPUBLICANOS;SP
2572994-8;220655;Sim;Mario Frias;PL;SP
2572994-8;178858;Sim;Mário Negromonte Jr.;PP;BA
2572994-8;220572;Sim;Marussa Boldrin;MDB;GO
2572994-8;178843;Sim;Marx Beltrão;PP;AL
2572994-8;220661;Sim;Matheus Noronha;PL;CE
2572994-8;220609;Sim;Maurício Carvalho;UNIÃO;RO
2572994-8;220628;Sim;Mauricio do Vôlei;PL;MG
2572994-8;220550;Sim;Mauricio Marcon;PL;RS
2572994-8;220647;Sim;Mauricio Neves;PP;SP
2572994-8;204486;Sim;Mauro Benevides Filho;PDT;CE
2572994-8;220607;Sim;Max Lemos;PDT;RJ
2572994-8;220591;Não;Meire Serafim;UNIÃO;AC
2572994-8;188097;Sim;Merlong Solano;PT;PI
2572994-8;178985;Sim;Miguel Lombardi;PL;SP
2572994-8;160561;Sim;Missionário José Olimpio;PL;SP
2572994-8;178997;Sim;Moses Rodrigues;UNIÃO;CE
2572994-8;220617;Sim;Murillo Gouvea;UNIÃO;RJ
2572994-8;220584;Sim;Murilo Galdino;REPUBLICANOS;PB
2572994-8;204453;Não;Natália Bonavides;PT;RN
2572994-8;220703;Sim;Neto Carletto;AVANTE;BA
2572994-8;178896;Sim;Newton Cardoso Jr;MDB;MG
2572994-8;204479;Sim;Nicoletti;UNIÃO;RR
2572994-8;209787;Sim;Nikolas Ferreira;PL;MG
2572994-8;178986;Sim;Nilto Tatto;PT;SP
2572994-8;74159;Sim;Odair Cunha;PT;MG
2572994-8;204498;Sim;Olival Marques;MDB;PA
2572994-8;178987;Não;Orlando Silva;PCDOB;SP
2572994-8;204422;Sim;Ossesio Silva;REPUBLICANOS;PE
2572994-8;204441;Sim;Otoni de Paula;MDB;RJ
2572994-8;160556;Sim;Padre João;PT;MG
2572994-8;180214;Sim;Pastor Diniz;UNIÃO;RR
2572994-8;160642;Sim;Pastor Eurico;PL;PE
2572994-8;220615;Não;Pastor Henrique Vieira;PSOL;RJ
2572994-8;204553;Sim;Pastor Sargento Isidório;AVANTE;BA
2572994-8;74095;Sim;Pauderney Avelino;UNIÃO;AM
2572994-8;220650;Não;Paulo Alexandre Barbosa;PSDB;SP
2572994-8;178860;Sim;Paulo Azi;UNIÃO;BA
2572994-8;160558;Sim;Paulo Freire Costa;PL;SP
2572994-8;220685;Sim;Paulo Litro;PSD;PR
2572994-8;128760;Sim;Paulo Marinho Jr;PL;MA
2572994-8;74400;Sim;Paulo Pimenta;PT;RS
2572994-8;220630;Sim;Pedro Aihara;PRD;MG
2572994-8;220667;Sim;Pedro Campos;PSB;PE
2572994-8;122974;Sim;Pedro Lucas Fernandes;UNIÃO;MA
2572994-8;160604;Sim;Pedro Uczai;PT;SC
2572994-8;160601;Sim;Pr. Marco Feliciano;PL;SP
2572994-8;220533;Sim;Prof. Reginaldo Veras;PV;DF
2572994-8;204390;Sim;Professor Alcides;PL;GO
2572994-8;160641;Não;Professora Marcivania;PCDOB;AP
2572994-8;220586;Sim;Rafael Brito;MDB;AL
2572994-8;220532;Sim;Rafael Prudente;MDB;DF
2572994-8;220626;Sim;Rafael Simoes;UNIÃO;MG
2572994-8;204567;Sim;Raimundo Costa;PODE;BA
2572994-8;74084;Sim;Raimundo Santos;PSD;PA
2572994-8;220606;Sim;Reimont;PT;RJ
2572994-8;205865;Sim;Reinhold Stephanes;PSD;PR
2572994-8;178989;Sim;Renata Abreu;PODE;SP
2572994-8;153423;Sim;Renilce Nicodemos;MDB;PA
2572994-8;235088;Sim;Ribeiro Neto;PRD;MA
2572994-8;221329;Sim;Ricardo Abrão;UNIÃO;RJ
2572994-8;220543;Sim;Ricardo Ayres;REPUBLICANOS;TO
2572994-8;73788;Sim;Ricardo Barros;PP;PR
2572994-8;234310;Não;Ricardo Galvão;REDE;SP
2572994-8;204362;Sim;Ricardo Guidi;PL;SC
2572994-8;220694;Sim;Ricardo Maia;MDB;BA
2572994-8;220633;Sim;Ricardo Salles;NOVO;SP
2572994-8;204489;Sim;Robério Monteiro;PDT;CE
2572994-8;220693;Sim;Roberta Roma;PL;BA
2572994-8;220588;Sim;Roberto Duarte;REPUBLICANOS;AC
2572994-8;220624;Sim;Robinson Faria;PP;RN
2572994-8;220546;Sim;Rodolfo Nogueira;PL;MS
2572994-8;230767;Sim;Rodrigo da Zaeli;PL;MT
2572994-8;141531;Sim;Rodrigo de Castro;UNIÃO;MG
2572994-8;220641;Sim;Rodrigo Gambale;PODE;SP
2572994-8;141533;Sim;Rodrigo Rollemberg;PSB;DF
2572994-8;165470;Sim;Rodrigo Valadares;UNIÃO;SE
2572994-8;220695;Sim;Rogéria Santos;REPUBLICANOS;BA
2572994-8;204480;Sim;Rogério Correia;PT;MG
2572994-8;160629;Sim;Romero Rodrigues;PODE;PB
2572994-8;204525;Sim;Rosana Valle;PL;SP
2572994-8;220644;Sim;Rosangela Moro;UNIÃO;SP
2572994-8;74371;Sim;Rubens Otoni;PT;GO
2572994-8;178887;Sim;Rubens Pereira Júnior;PT;MA
2572994-8;73604;Sim;Rui Falcão;PT;SP
2572994-8;160635;Não;Ruy Carneiro;PODE;PB
2572994-8;220631;Sim;Samuel Viana;REPUBLICANOS;MG
2572994-8;204387;Sim;Sargento Fahur;PSD;PR
2572994-8;220621;Sim;Sargento Gonçalves;PL;RN
2572994-8;73808;Sim;Sérgio Brito;PSD;BA
2572994-8;204360;Sim;Silvia Cristina;PP;RO
2572994-8;227310;Sim;Silvio Antonio;PL;MA
2572994-8;220651;Sim;Simone Marquetto;MDB;SP
2572994-8;104552;Sim;Socorro Neri;PP;AC
2572994-8;92776;Abstenção;Stefano Aguiar;PSD;MG
2572994-8;204534;Sim;Tabata Amaral;PSB;SP
2572994-8;204464;Não;Talíria Petrone;PSOL;RJ
2572994-8;220598;Não;Tarcísio Motta;PSOL;RJ
2572994-8;220560;Não;Thiago de Joaldo;PP;SE
2572994-8;220597;Sim;Thiago Flores;REPUBLICANOS;RO
2572994-8;143084;Sim;Tiago Dimas;PODE;TO
2572994-8;220684;Sim;Tião Medeiros;PP;PR
2572994-8;160976;Sim;Tiririca;PSD;SP
2572994-8;178934;Sim;Toninho Wandscheer;PP;PR
2572994-8;157130;Não;Túlio Gadêlha;REDE;PE
2572994-8;160610;Sim;Valmir Assunção;PT;BA
2572994-8;74376;Sim;Vander Loubet;PT;MS
2572994-8;234673;Sim;Vanderlan Alves;REPUBLICANOS;CE
2572994-8;204396;Sim;Vermelho;PP;PR
2572994-8;141555;Sim;Vinicius Carvalho;REPUBLICANOS;SP
2572994-8;160591;Sim;Vinicius Gurgel;PL;AP
2572994-8;91228;Sim;Waldemar Oliveira;AVANTE;PE
2572994-8;224333;Sim;Welter;PT;PR
2572994-8;220536;Sim;Zé Haroldo Cathedral;PSD;RR
2572994-8;160632;Sim;Zé Silva;SOLIDARIEDADE;MG
2572994-8;160592;Sim;Zeca Dirceu;PT;PR
2572994-8;220552;Sim;Zucco;PL;RS
2578879-27;220714;Não;Adail Filho;REPUBLICANOS;AM
2578879-27;221328;Sim;Adilson Barroso;PL;SP
2578879-27;204560;Não;Adolfo Viana;PSDB;BA
2578879-27;204528;Sim;Adriana Ventura;NOVO;SP
2578879-27;121948;Não;Adriano do Baldy;PP;GO
2578879-27;136811;Sim;Afonso Hamm;PP;RS
2578879-27;178835;Não;Afonso Motta;PDT;RS
2578879-27;160527;Sim;Aguinaldo Ribeiro;PP;PB
2578879-27;204495;Não;Airton Faleiro;PT;PA
2578879-27;204549;Não;AJ Albuquerque;PP;CE
2578879-27;73579;Sim;Alberto Fraga;PL;DF
2578879-27;220538;Não;Albuquerque;REPUBLICANOS;RR
2578879-27;160559;Sim;Alceu Moreira;MDB;RS
2578879-27;204501;Não;Alencar Santana;PT;SP
2578879-27;204571;Não;Alex Santana;REPUBLICANOS;BA
2578879-27;220542;Sim;Alexandre Guimarães;MDB;TO
2578879-27;220554;Não;Alexandre Lindenmeyer;PT;RS
2578879-27;221148;Não;Alfredinho;PT;SP
2578879-27;220576;Sim;Alfredo Gaspar;UNIÃO;AL
2578879-27;74057;Não;Alice Portugal;PCDOB;BA
2578879-27;178927;Não;Aliel Machado;PV;PR
2578879-27;226708;Sim;Allan Garcês;PP;MA
2578879-27;178937;Artigo 17;Altineu Côrtes;PL;RJ
2578879-27;178881;Não;Aluisio Mendes;REPUBLICANOS;MA
2578879-27;220707;Não;Amanda Gentil;PP;MA
2578879-27;204356;Sim;Amaro Neto;REPUBLICANOS;ES
2578879-27;107970;Sim;Ana Paula Leão;PP;MG
2578879-27;220556;Não;Ana Paula Lima;PT;SC
2578879-27;220632;Não;Ana Pimentel;PT;MG
2578879-27;178831;Não;André Abdon;PP;AP
2578879-27;204423;Sim;André Ferreira;PL;PE
2578879-27;133439;Não;André Figueiredo;PDT;CE
2578879-27;204515;Não;André Janones;AVANTE;MG
2578879-27;220676;Não;Andreia Siqueira;MDB;PA
2578879-27;123756;Não;Antônia Lúcia;REPUBLICANOS;AC
2578879-27;220544;Não;Antonio Andrade;REPUBLICANOS;TO
2578879-27;220638;Não;Antonio Carlos Rodrigues;PL;SP
2578879-27;220675;Não;Antônio Doido;MDB;PA
2578879-27;220549;Sim;Any Ortiz;CIDADANIA;RS
2578879-27;73433;Não;Arlindo Chinaglia;PT;SP
2578879-27;141391;Não;Arnaldo Jardim;CIDADANIA;SP
2578879-27;123086;Não;Átila Lira;PP;PI
2578879-27;160665;Não;Augusto Coutinho;REPUBLICANOS;PE
2578879-27;160512;Não;Aureo Ribeiro;SOLIDARIEDADE;RJ
2578879-27;69871;Não;Bacelar;PV;BA
2578879-27;220605;Não;Bandeira de Mello;PSB;RJ
2578879-27;220612;Não;Bebeto;PP;RJ
2578879-27;73701;Não;Benedita da Silva;PT;RJ
2578879-27;109429;Não;Benes Leocádio;UNIÃO;RN
2578879-27;204358;Sim;Beto Pereira;PSDB;MS
2578879-27;204374;Sim;Bia Kicis;PL;DF
2578879-27;204388;Sim;Bibo Nunes;PL;RS
2578879-27;160538;Não;Bohn Gass;PT;RS
2578879-27;220635;Não;Bruno Ganem;PODE;SP
2578879-27;220574;Sim;Cabo Gilberto Silva;PL;PB
2578879-27;143942;Não;Caio Vianna;PSD;RJ
2578879-27;220548;Não;Camila Jara;PT;MS
2578879-27;220690;Sim;Capitão Alden;PL;BA
2578879-27;178829;Sim;Capitão Augusto;PL;SP
2578879-27;213762;Não;Carla Dickson;UNIÃO;RN
2578879-27;204361;Sim;Carlos Chiodini;MDB;SC
2578879-27;178962;Não;Carlos Gomes;REPUBLICANOS;RS
2578879-27;178993;Não;Carlos Henrique Gaguim;UNIÃO;TO
2578879-27;204460;Sim;Carlos Jordy;PL;RJ
2578879-27;74262;Não;Carlos Sampaio;PSD;SP
2578879-27;204426;Não;Carlos Veras;PT;PE
2578879-27;141398;Não;Carlos Zarattini;PT;SP
2578879-27;220704;Não;Carol Dartora;PT;PR
2578879-27;206018;Não;Célia Xakriabá;PSOL;MG
2578879-27;178876;Não;Célio Silveira;MDB;GO
2578879-27;73441;Não;Celso Russomanno;REPUBLICANOS;SP
2578879-27;204496;Não;Celso Sabino;UNIÃO;PA
2578879-27;204504;Não;Cezinha de Madureira;PSD;SP
2578879-27;205476;Sim;Charles Fernandes;PSD;BA
2578879-27;74171;Não;Chico Alencar;PSOL;RJ
2578879-27;204462;Sim;Chris Tonietto;PL;RJ
2578879-27;220665;Sim;Clarissa Tércio;PP;PE
2578879-27;74537;Não;Claudio Cajado;PP;BA
2578879-27;141408;Não;Cleber Verde;MDB;MA
2578879-27;88256;Não;Clodoaldo Magalhães;PV;PE
2578879-27;98148;Sim;Cobalchini;MDB;SC
2578879-27;220594;Sim;Coronel Assis;UNIÃO;MT
2578879-27;204378;Sim;Coronel Chrisóstomo;PL;RO
2578879-27;220666;Sim;Coronel Meira;PL;PE
2578879-27;220590;Sim;Coronel Ulysses;UNIÃO;AC
2578879-27;178963;Sim;Covatti Filho;PP;RS
2578879-27;220608;Sim;Cristiane Lopes;UNIÃO;RO
2578879-27;234840;Não;Cristiano Furlan;REDE;AP
2578879-27;204355;Não;Da Vitoria;PP;ES
2578879-27;141411;Não;Dagoberto Nogueira;PSDB;MS
2578879-27;220555;Não;Daiana Santos;PCDOB;RS
2578879-27;220692;Não;Dal Barreto;UNIÃO;BA
2578879-27;74467;Não;Damião Feliciano;UNIÃO;PB
2578879-27;220629;Não;Dandara;PT;MG
2578879-27;220603;Não;Dani Cunha;UNIÃO;RJ
2578879-27;220571;Sim;Daniel Agrobom;PL;GO
2578879-27;74060;Não;Daniel Almeida;PCDOB;BA
2578879-27;220582;Não;Daniel Barbosa;PP;AL
2578879-27;204367;Sim;Daniel Freitas;PL;SC
2578879-27;204409;Sim;Daniel Trzeciak;PSDB;RS
2578879-27;204459;Não;Daniela do Waguinho;UNIÃO;RJ
2578879-27;220557;Sim;Daniela Reinehr;PL;SC
2578879-27;62881;Sim;Danilo Forte;UNIÃO;CE
2578879-27;160552;Sim;Danrlei de Deus Hinterholz;PSD;RS
2578879-27;204511;Sim;David Soares;UNIÃO;SP
2578879-27;220539;Não;Defensor Stélio Dener;REPUBLICANOS;RR
2578879-27;220565;Não;Delegada Adriana Accorsi;PT;GO
2578879-27;220561;Não;Delegada Katarina;PSD;SE
2578879-27;220642;Não;Delegado Bruno Lima;PP;SP
2578879-27;220673;Sim;Delegado Caveira;PL;PA
2578879-27;220649;Sim;Delegado da Cunha;PP;SP
2578879-27;178908;Sim;Delegado Éder Mauro;PL;PA
2578879-27;220583;Sim;Delegado Fabio Costa;PP;AL
2578879-27;204512;Sim;Delegado Marcelo Freitas;UNIÃO;MG
2578879-27;220701;Não;Delegado Matheus Laiola;UNIÃO;PR
2578879-27;220652;Sim;Delegado Palumbo;MDB;SP
2578879-27;220654;Sim;Delegado Paulo Bilynskyj;PL;SP
2578879-27;220553;Não;Denise Pessôa;PT;RS
2578879-27;220691;Não;Diego Coronel;PSD;BA
2578879-27;178929;Não;Diego Garcia;REPUBLICANOS;PR
2578879-27;73768;Sim;Dilceu Sperafico;PP;PR
2578879-27;220671;Não;Dilvanda Faro;PT;PA
2578879-27;160599;Não;Dimas Fabiano;PP;MG
2578879-27;220602;Não;Dimas Gadelha;PT;RJ
2578879-27;143632;Não;Domingos Neto;PSD;CE
2578879-27;160758;Sim;Domingos Sávio;PL;MG
2578879-27;220573;Não;Dorinaldo Malafaia;PDT;AP
2578879-27;227433;Não;Douglas Viegas;UNIÃO;SP
2578879-27;227991;Sim;Dr Flávio;PL;RJ
2578879-27;220688;Não;Dr. Francisco;PT;PI
2578879-27;204518;Sim;Dr. Frederico;PRD;MG
2578879-27;220570;Sim;Dr. Ismael Alexandrino;PSD;GO
2578879-27;204481;Sim;Dr. Jaziel;PL;CE
2578879-27;204351;Sim;Dr. Luiz Ovando;PP;MS
2578879-27;220528;Não;Dr. Victor Linhalis;PODE;ES
2578879-27;220686;Sim;Duarte Jr.;PSB;MA
2578879-27;220623;Não;Duda Salabert;PDT;MG
2578879-27;141421;Não;Eduardo da Fonte;PP;PE
2578879-27;204364;Sim;Eli Borges;PL;TO
2578879-27;229585;Não;Elisangela Araujo;PT;BA
2578879-27;178854;Não;Elmar Nascimento;UNIÃO;BA
2578879-27;218086;Não;Ely Santos;REPUBLICANOS;SP
2578879-27;161550;Sim;Emidinho Madeira;PL;MG
2578879-27;230765;Não;Enfermeira Rejane;PCDOB;RJ
2578879-27;220663;Não;Eriberto Medeiros;PSB;PE
2578879-27;220645;Não;Erika Hilton;PSOL;SP
2578879-27;160575;Não;Erika Kokay;PT;DF
2578879-27;160640;Sim;Eros Biondini;PL;MG
2578879-27;204482;Não;Euclydes Pettersen;REPUBLICANOS;MG
2578879-27;74454;Não;Eunício Oliveira;MDB;CE
2578879-27;178871;Sim;Evair Vieira de Melo;PP;ES
2578879-27;220681;Não;Fábio Macedo;PODE;MA
2578879-27;171623;Não;Fabio Reis;PSD;SE
2578879-27;204368;Sim;Fabio Schiochet;UNIÃO;SC
2578879-27;220653;Sim;Fábio Teruel;MDB;SP
2578879-27;74065;Não;Fatima Pelaes;REPUBLICANOS;AP
2578879-27;220712;Não;Fausto Jr.;UNIÃO;AM
2578879-27;66828;Não;Fausto Pinato;PP;SP
2578879-27;220646;Não;Felipe Becari;UNIÃO;SP
2578879-27;72442;Não;Felipe Carreras;PSB;PE
2578879-27;204398;Sim;Felipe Francischini;UNIÃO;PR
2578879-27;160666;Não;Félix Mendonça Júnior;PDT;BA
2578879-27;204407;Não;Fernanda Melchionna;PSOL;RS
2578879-27;141431;Não;Fernando Coelho Filho;UNIÃO;PE
2578879-27;204445;Não;Fernando Mineiro;PT;RN
2578879-27;92699;Não;Fernando Monteiro;PSD;PE
2578879-27;204427;Sim;Fernando Rodolfo;PL;PE
2578879-27;204411;Sim;Filipe Barros;PL;PR
2578879-27;220545;Sim;Filipe Martins;PL;TO
2578879-27;160598;Não;Flávia Morais;PDT;GO
2578879-27;191923;Não;Flávio Nogueira;PT;PI
2578879-27;220700;Não;Florentino Neto;PT;PI
2578879-27;220534;Não;Fred Linhares;REPUBLICANOS;DF
2578879-27;224117;Não;Gabriel Mota;REPUBLICANOS;RR
2578879-27;220708;Não;Gabriel Nunes;PSD;BA
2578879-27;204473;Sim;General Girão;PL;RN
2578879-27;220611;Sim;General Pazuello;PL;RJ
2578879-27;178966;Sim;Geovania de Sá;PSDB;SC
2578879-27;220702;Não;Geraldo Mendes;UNIÃO;PR
2578879-27;74374;Não;Geraldo Resende;PSDB;MS
2578879-27;204394;Não;Gervásio Maia;PSB;PB
2578879-27;204491;Não;Gilberto Abramo;REPUBLICANOS;MG
2578879-27;220529;Não;Gilson Daniel;PODE;ES
2578879-27;204365;Sim;Gilson Marques;NOVO;SC
2578879-27;220526;Sim;Gilvan da Federal;PL;ES
2578879-27;160673;Sim;Giovani Cherini;PL;RS
2578879-27;226179;Sim;Gisela Simona;UNIÃO;MT
2578879-27;204419;Não;Glaustin da Fokus;PODE;GO
2578879-27;129618;Não;Gorete Pereira;MDB;CE
2578879-27;198197;Sim;Greyce Elias;AVANTE;MG
2578879-27;204531;Sim;Guilherme Derrite;PP;SP
2578879-27;220664;Não;Guilherme Uchoa;PSB;PE
2578879-27;220568;Sim;Gustavo Gayer;PL;GO
2578879-27;204408;Não;Gustinho Ribeiro;REPUBLICANOS;SE
2578879-27;204456;Sim;Gutemberg Reis;MDB;RJ
2578879-27;178964;Não;Heitor Schuch;PSB;RS
2578879-27;178873;Não;Helder Salomão;PT;ES
2578879-27;220537;Não;Helena Lima;MDB;RR
2578879-27;204444;Sim;Helio Lopes;PL;RJ
2578879-27;234788;Não;Heloísa Helena;REDE;RJ
2578879-27;178884;Não;Hildo Rocha;MDB;MA
2578879-27;141450;Sim;Hugo Leal;PSD;RJ
2578879-27;220563;Não;Icaro de Valmir;PL;SE
2578879-27;204508;Não;Igor Timo;PSD;MG
2578879-27;98615;Sim;Ismael;PSD;SC
2578879-27;73531;Não;Ivan Valente;PSOL;SP
2578879-27;220696;Não;Ivoneide Caetano;PT;BA
2578879-27;220670;Não;Iza Arruda;MDB;PE
2578879-27;220527;Não;Jack Rocha;PT;ES
2578879-27;220697;Não;Jadyel Alencar;REPUBLICANOS;PI
2578879-27;74848;Não;Jandira Feghali;PCDOB;RJ
2578879-27;220567;Não;Jeferson Rodrigues;REPUBLICANOS;GO
2578879-27;74273;Sim;Jefferson Campos;PL;SP
2578879-27;141456;Não;Jilmar Tatto;PT;SP
2578879-27;141458;Não;João Carlos Bacelar;PL;BA
2578879-27;178970;Não;João Daniel;PT;SE
2578879-27;74550;Não;João Leão;PP;BA
2578879-27;141459;Não;João Maia;PP;RN
2578879-27;178910;Sim;Joaquim Passarinho;PL;PA
2578879-27;160548;Não;Jonas Donizette;PSB;SP
2578879-27;205550;Não;Jorge Braz;REPUBLICANOS;RJ
2578879-27;214694;Sim;Jorge Goetten;REPUBLICANOS;SC
2578879-27;178857;Não;Jorge Solla;PT;BA
2578879-27;141464;Não;José Airton Félix Cirilo;PT;CE
2578879-27;141470;Não;José Guimarães;PT;CE
2578879-27;74079;Não;José Priante;MDB;PA
2578879-27;74554;Não;José Rocha;UNIÃO;BA
2578879-27;209189;Não;Joseildo Ramos;PT;BA
2578879-27;220578;Não;Josenildo;PDT;AP
2578879-27;215043;Não;Josivaldo JP;PSD;MA
2578879-27;204474;Não;Juarez Costa;MDB;MT
2578879-27;220559;Sim;Julia Zanatta;PL;SC
2578879-27;220640;Não;Juliana Cardoso;PT;SP
2578879-27;66385;Não;Julio Arcoverde;PP;PI
2578879-27;74317;Não;Júlio Cesar;PSD;PI
2578879-27;204372;Não;Julio Cesar Ribeiro;REPUBLICANOS;DF
2578879-27;74253;Não;Julio Lopes;PP;RJ
2578879-27;204457;Não;Juninho do Pneu;UNIÃO;RJ
2578879-27;204520;Sim;Junio Amaral;PL;MG
2578879-27;204497;Não;Júnior Ferrari;PSD;PA
2578879-27;204574;Não;Junior Lourenço;PL;MA
2578879-27;162067;Não;Kiko Celeguim;PT;SP
2578879-27;204536;Sim;Kim Kataguiri;UNIÃO;SP
2578879-27;74856;Não;Laura Carneiro;PSD;RJ
2578879-27;231911;Não;Lenir de Assis;PT;PR
2578879-27;80815;Não;Leo Prates;PDT;BA
2578879-27;74156;Não;Leonardo Monteiro;PT;MG
2578879-27;74299;Não;Leônidas Cristino;PDT;CE
2578879-27;139285;Não;Lídice da Mata;PSB;BA
2578879-27;74858;Não;Lindbergh Farias;PT;RJ
2578879-27;220662;Não;Lucas Ramos;PSB;PE
2578879-27;204404;Sim;Lucas Redecker;PSDB;RS
2578879-27;138286;Não;Luciano Alves;PSD;PR
2578879-27;220581;Não;Luciano Amaral;PSD;AL
2578879-27;74478;Não;Luciano Bivar;UNIÃO;PE
2578879-27;220616;Não;Luciano Vieira;PSDB;RJ
2578879-27;222429;Não;Luis Carlos Gomes;REPUBLICANOS;RJ
2578879-27;141485;Não;Luiz Carlos Busato;UNIÃO;RS
2578879-27;73778;Não;Luiz Carlos Hauly;PODE;PR
2578879-27;204485;Sim;Luiz Carlos Motta;PL;SP
2578879-27;74041;Não;Luiz Couto;PT;PB
2578879-27;141487;Não;Luiz Fernando Faria;PSD;MG
2578879-27;220658;Não;Luiz Gastão;PSD;CE
2578879-27;204455;Sim;Luiz Lima;NOVO;RJ
2578879-27;162332;Sim;Luiz Nishimori;PSD;PR
2578879-27;204526;Sim;Luiz Philippe de Orleans e Bragança;PL;SP
2578879-27;74784;Não;Luiza Erundina;PSOL;SP
2578879-27;178866;Não;Luizianne Lins;PT;CE
2578879-27;166402;Sim;Magda Mofatto;PRD;GO
2578879-27;220648;Não;Marangoni;UNIÃO;SP
2578879-27;156190;Sim;Marcel van Hattem;NOVO;RS
