idproposicao;uriproposicao;idautor;nomeautor;tipoautor;ordemassinatura;pesoautoria
2606485;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606485;160559;Alceu Moreira;Deputado(a);1;1
2606484;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606484;220558;Zé Trovão;Deputado(a);1;1
2606483;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606483;220558;Zé Trovão;Deputado(a);1;1
2606482;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606482;74376;Vander Loubet;Deputado(a);1;1
2606481;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606481;74376;Vander Loubet;Deputado(a);1;1
2606480;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606480;141470;José Guimarães;Deputado(a);1;1
2606479;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606479;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606478;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606478;74376;Vander Loubet;Deputado(a);1;1
2606477;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606477;74398;Maria do Rosário;Deputado(a);1;1
2606476;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606476;74376;Vander Loubet;Deputado(a);1;1
2606475;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606475;74376;Vander Loubet;Deputado(a);1;1
2606474;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606474;220558;Zé Trovão;Deputado(a);1;1
2606473;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606473;74376;Vander Loubet;Deputado(a);1;1
2606472;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606472;220691;Diego Coronel;Deputado(a);1;1
2606471;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606471;220558;Zé Trovão;Deputado(a);1;1
2606470;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606470;178860;Paulo Azi;Deputado(a);1;1
2606469;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606469;204462;Chris Tonietto;Deputado(a);1;1
2606468;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606468;204501;Alencar Santana;Deputado(a);1;1
2606467;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606467;204462;Chris Tonietto;Deputado(a);1;1
2606466;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606466;178873;Helder Salomão;Deputado(a);1;1
2606465;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606465;220648;Marangoni;Deputado(a);1;1
2606464;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606464;178887;Rubens Pereira Júnior;Deputado(a);1;1
2606463;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606463;141470;José Guimarães;Deputado(a);1;1
2606462;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606462;141470;José Guimarães;Deputado(a);1;1
2606461;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606461;74554;José Rocha;Deputado(a);1;1
2606460;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606460;220559;Julia Zanatta;Deputado(a);1;1
2606459;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606459;220576;Alfredo Gaspar;Deputado(a);1;1
2606458;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606458;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606457;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606457;220654;Delegado Paulo Bilynskyj;Deputado(a);1;1
2606456;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606456;220649;Delegado da Cunha;Deputado(a);1;1
