idvotacao;proposicao_id;proposicao_uri;proposicao_titulo;proposicao_ementa;proposicao_siglatipo;proposicao_numero;proposicao_ano;__reason
2432865-61;2537093;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537093;RPD 39 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;39;;fk_missing:proposicao_id
2432865-61;2537263;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537263;RPD 40 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;40;;fk_missing:proposicao_id
2432865-61;2537264;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537264;RPD 41 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;41;;fk_missing:proposicao_id
2432865-61;2537574;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537574;RPD 42 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;42;;fk_missing:proposicao_id
2432865-61;2537576;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537576;RPD 43 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;43;;fk_missing:proposicao_id
2432865-61;2537586;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537586;RPD 44 => PL 1743/2024;Requerimento Procedimental Genérico - PL 1743/2024;RPD;44;;fk_missing:proposicao_id
2432865-61;2537764;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537764;RPD 45 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;45;;fk_missing:proposicao_id
2432865-61;2537765;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537765;RPD 46 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;46;;fk_missing:proposicao_id
2432865-61;2537766;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537766;RPD 47 => PL 1743/2024;Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;47;;fk_missing:proposicao_id
2432865-61;2537767;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537767;RPD 48 => PL 1743/2024;Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;48;;fk_missing:proposicao_id
2432865-61;2537768;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537768;RPD 49 => PL 1743/2024;Votação Nominal do Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024-Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;49;;fk_missing:proposicao_id
2432865-61;2537769;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537769;RPD 50 => PL 1743/2024;Votação Nominal do Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024-Requerimento de Adiamento da Votação Matéria Urgente - PL 1743/2024;RPD;50;;fk_missing:proposicao_id
2432865-61;2537770;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2537770;RPD 51 => PL 1743/2024;Requerimento de Votação Nominal - PL 1743/2024;RPD;51;;fk_missing:proposicao_id
2432865-61;2569526;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2569526;RPD 52 => PL 1743/2024;Requerimento Procedimental Genérico - PL 1743/2024;RPD;52;;fk_missing:proposicao_id
2432865-61;2569617;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2569617;RPD 53 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;53;;fk_missing:proposicao_id
2432865-61;2569619;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2569619;RPD 54 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;54;;fk_missing:proposicao_id
2432865-61;2569978;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2569978;RPD 55 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;55;;fk_missing:proposicao_id
2432865-61;2569979;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2569979;RPD 56 => PL 1743/2024;Requerimento de Votação Nominal - PL 1743/2024;RPD;56;;fk_missing:proposicao_id
2432865-61;2569980;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2569980;RPD 57 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;57;;fk_missing:proposicao_id
2432865-61;2576731;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2576731;RPD 58 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;58;;fk_missing:proposicao_id
2432865-61;2576732;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2576732;RPD 59 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;59;;fk_missing:proposicao_id
2432865-61;2576858;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2576858;RPD 60 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;60;;fk_missing:proposicao_id
2432865-61;2576860;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2576860;RPD 61 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;61;;fk_missing:proposicao_id
2432865-61;2577450;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2577450;RPD 62 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;62;;fk_missing:proposicao_id
2432865-61;2577457;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2577457;RPD 63 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;63;;fk_missing:proposicao_id
2432865-61;2577543;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2577543;RPD 64 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;64;;fk_missing:proposicao_id
2432865-61;2577544;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2577544;RPD 65 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;65;;fk_missing:proposicao_id
2432865-61;2578069;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2578069;RPD 66 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;66;;fk_missing:proposicao_id
2432865-61;2578071;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2578071;RPD 67 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;67;;fk_missing:proposicao_id
2432865-61;2578659;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2578659;RPD 68 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;68;;fk_missing:proposicao_id
2432865-61;2578662;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2578662;RPD 69 => PL 1743/2024;Votação Nominal do Requerimento de Retirada de Pauta - PL 1743/2024-Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;69;;fk_missing:proposicao_id
2432865-61;2578794;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2578794;RPD 70 => PL 1743/2024;Requerimento Procedimental Genérico - PL 1743/2024;RPD;70;;fk_missing:proposicao_id
2432865-61;2578797;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2578797;RPD 1 CAPADR => PL 1743/2024;Requerimento Procedimental Genérico - PL 1743/2024;RPD;1;;fk_missing:proposicao_id
2432865-62;2462532;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462532;REQ 4232/2024;Requer urgência para apreciação do Projeto de Lei 1743/2024, que “altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57;REQ;4232;2024;fk_missing:proposicao_id
2432865-62;2462788;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462788;RPD 1 => PL 1743/2024;Requerimento de Retirada de Matéria da Pauta - PL 1743/2024;RPD;1;;fk_missing:proposicao_id
2432865-62;2462789;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2462789;RPD 2 => PL 1743/2024;Requerimento de Adiamento da Discussão Matéria Urgente - PL 1743/2024;RPD;2;;fk_missing:proposicao_id
