Ranking global - todos os anos
 id_deputado | nome                                                | sigla_uf | sigla_partido | gasto_total 
      160601 | MARCO ANTÔNIO FELICIANO                             | SP       | PL            |  1662162.53 
      220599 | MARCELO BEZERRA CRIVELLA                            | RJ       | REPUBLICANOS  |  1657671.33 
      204512 | MARCELO EDUARDO FREITAS                             | MG       | UNIAO         |  1655748.25 
      220547 | MARCOS SBOROWSKI POLLON                             | MS       | PL            |  1655003.30 
       74156 | JOSÉ LEONARDO COSTA MONTEIRO                        | MG       | PT            |  1653850.78 
       80815 | LEONARDO SILVA PRATES                               | BA       | REPUBLICANOS  |  1649588.15 
      220529 | GILSON DANIEL BATISTA                               | ES       | PODE          |  1649272.16 
       66385 | JULIO FERRAZ ARCOVERDE                              | PI       | PP            |  1648449.55 
      204445 | FERNANDO WANDERLEY VARGAS DA SILVA                  | RN       | PT            |  1647722.94 
      220607 | MAX RODRIGUES LEMOS                                 | RJ       | UNIAO         |  1646068.16 
       74371 | RUBENS OTONI GOMIDE                                 | GO       | PT            |  1644633.10 
      160527 | AGUINALDO VELLOSO BORGES RIBEIRO                    | PB       | PP            |  1644480.08 
      215043 | JOSIVALDO DOS SANTOS MELO                           | MA       | UNIAO         |  1644476.99 
      204410 | LUISA CANZIANI DOS SANTOS SILVEIRA                  | PR       | UNIAO         |  1644303.35 
      220626 | RAFAEL TADEU SIMÕES                                 | MG       | UNIAO         |  1644233.85 
      220628 | MAURICIO LUIZ DE SOUZA                              | MG       | PL            |  1643694.18 
      204398 | LUIS FELIPE BONATTO FRANCISCHINI                    | PR       | PODE          |  1642757.58 
      220692 | ADALBERTO ROSA BARRETO                              | BA       | UNIAO         |  1642095.54 
      220530 | Manoel Messias Donato Bezerra                       | ES       | UNIAO         |  1641249.32 
      204368 | FÁBIO LUIZ SCHIOCHET FILHO                          | SC       | UNIAO         |  1639458.66 
      178895 | MISAEL ARTUR FERREIRA VARELLA                       | MG       | PSD           |  1639444.41 
      220582 | DANIEL BARBOSA DE ALMEIDA SILVA                     | AL       | PP            |  1639066.07 
      178986 | NILTO IGNACIO TATTO                                 | SP       | PT            |  1638966.48 
       74270 | GILBERTO NASCIMENTO SILVA                           | SP       | PODE          |  1637734.65 
      204501 | ALENCAR SANTANA BRAGA                               | SP       | PT            |  1637489.88 
      220603 | DANIELLE DYTZ DA CUNHA                              | RJ       | PL            |  1637057.33 
      178858 | MARIO S. M. NEGROMONTE JR.                          | BA       | PSB           |  1635447.80 
      204480 | ROGÉRIO CORREIA DE MOURA BAPTISTA                   | MG       | PT            |  1635115.66 
       66828 | FAUSTO RUY PINATO                                   | SP       | UNIAO         |  1634770.24 
      221328 | ADILSON BARROSO OLIVEIRA                            | SP       | PL            |  1632988.41 
      160556 | JOÃO CARLOS SIQUEIRA                                | MG       | PT            |  1632054.12 
      204355 | JOSIAS MARIO DA VITORIA                             | ES       | PP            |  1629568.63 
      220620 | ROSANGELA DE OLIVEIRA CAMPOS REIS                   | MG       | PL            |  1628916.17 
      220648 | FERNANDO JOSE DE SOUZA MARANGONI                    | SP       | PODE          |  1628182.48 
      220651 | SIMONE APARECIDA MARQUETO CURRALADAS                | SP       | PP            |  1627969.56 
      220631 | SAMUEL JOSÉ RODRIGUES DE VIANA                      | MG       | UNIAO         |  1627474.09 
      178970 | JOAO SOMARIVA DANIEL                                | SE       | PT            |  1626918.98 
      220594 | JONILDO JOSÉ DE ASSIS                               | MT       | PL            |  1624487.76 
      160632 | JOSÉ SILVA SOARES                                   | MG       | UNIAO         |  1624291.91 
       74550 | JOÃO FELIPE DE SOUZA LEÃO                           | BA       | PP            |  1623888.06 
      220667 | PEDRO HENRIQUE DE A. L. C. CAMPOS                   | PE       | PSB           |  1621479.34 
      220670 | IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA        | PE       | MDB           |  1620891.01 
      121948 | ADRIANO ANTÔNIO AVELAR                              | GO       | PP            |  1618308.93 
      220528 | VICTOR GAROZI LINHALIS                              | ES       | PSB           |  1617640.65 
      220615 | HENRIQUE DOS SANTOS VIEIRA LIMA                     | RJ       | PSOL          |  1616410.54 
      204508 | IGOR TARCIANO TIMO                                  | MG       | UNIAO         |  1614360.71 
      204390 | ALCIDES RIBEIRO FILHO                               | GO       | PSDB          |  1613202.06 
      205476 | CHARLES FERNANDES SILVEIRA SANTANA                  | BA       | PSD           |  1611112.97 
      141456 | JILMAR AUGUSTINHO TATTO                             | SP       | PT            |  1610509.66 
      220606 | REIMONT LUIZ OTONI SANTA BARBARA                    | RJ       | PT            |  1606652.87 
      220554 | ALEXANDRE DUARTE LINDENMEYER                        | RS       | PT            |  1606529.87 
