id_evento;id_deputado;nome_deputado;sigla_partido;sigla_uf
80872;220567;;;
80872;220568;;;
80872;220569;;;
80872;220570;;;
80872;220571;;;
80872;220572;;;
80872;220573;;;
80872;220574;;;
80872;220576;;;
80872;220578;;;
80872;220581;;;
80872;220582;;;
80872;220583;;;
80872;220584;;;
80872;220585;;;
80872;220586;;;
80872;220588;;;
80872;220590;;;
80872;220591;;;
80872;220592;;;
80872;220594;;;
80872;220595;;;
80872;220597;;;
80872;220598;;;
80872;220599;;;
80872;220602;;;
80872;220603;;;
80872;220604;;;
80872;220605;;;
80872;220606;;;
80872;220607;;;
80872;220608;;;
80872;220609;;;
80872;220610;;;
80872;220611;;;
80872;220612;;;
80872;220613;;;
80872;220615;;;
80872;220616;;;
80872;220617;;;
80872;220618;;;
80872;220620;;;
80872;220621;;;
80872;220623;;;
80872;220624;;;
80872;220625;;;
80872;220626;;;
80872;220628;;;
80872;220629;;;
80872;220631;;;
80872;220632;;;
80872;220633;;;
80872;220635;;;
80872;220638;;;
80872;220640;;;
80872;220641;;;
80872;220642;;;
80872;220644;;;
80872;220645;;;
80872;220646;;;
80872;220647;;;
80872;220649;;;
80872;220650;;;
80872;220651;;;
80872;220652;;;
80872;220653;;;
80872;220654;;;
80872;220655;;;
80872;220657;;;
80872;220658;;;
80872;220659;;;
80872;220661;;;
80872;220662;;;
80872;220663;;;
80872;220664;;;
80872;220665;;;
80872;220666;;;
80872;220667;;;
80872;220668;;;
80872;220669;;;
80872;220670;;;
80872;220671;;;
80872;220672;;;
80872;220673;;;
80872;220674;;;
80872;220675;;;
80872;220676;;;
80872;220677;;;
80872;220681;;;
80872;220682;;;
80872;220683;;;
80872;220684;;;
80872;220685;;;
80872;220686;;;
80872;220687;;;
80872;220688;;;
80872;220689;;;
80872;220690;;;
80872;220691;;;
80872;220692;;;
80872;220693;;;
80872;220694;;;
80872;220695;;;
80872;220696;;;
80872;220697;;;
80872;220699;;;
80872;220700;;;
80872;220702;;;
80872;220703;;;
80872;220704;;;
80872;220706;;;
80872;220707;;;
80872;220708;;;
80872;220712;;;
80872;220714;;;
80872;220715;;;
80872;221148;;;
80872;221328;;;
80872;221329;;;
80872;221338;;;
80872;222429;;;
80872;223128;;;
80872;224117;;;
80872;224333;;;
80872;225730;;;
80872;226179;;;
80872;226708;;;
80872;226837;;;
80872;227433;;;
80872;227991;;;
80872;229432;;;
80872;229585;;;
80872;230765;;;
80872;230767;;;
80872;230768;;;
80872;230957;;;
80872;231911;;;
80872;233594;;;
80872;234310;;;
80872;234388;;;
80872;234406;;;
80872;234673;;;
80872;234788;;;
80872;234840;;;
80875;73701;;;
80875;156190;;;
80875;178992;;;
80875;204378;;;
80875;220565;;;
80875;220595;;;
80875;220632;;;
80878;73701;;;
80878;74374;;;
80878;156190;;;
80878;204378;;;
80878;204462;;;
80878;220595;;;
80878;220632;;;
80879;73701;;;
80879;204462;;;
80879;220632;;;
80880;74171;;;
80880;74550;;;
80880;156190;;;
80880;178947;;;
80880;178997;;;
80880;204365;;;
80880;204512;;;
80880;204528;;;
80880;220538;;;
80880;220543;;;
80880;220547;;;
80880;220559;;;
80880;220568;;;
80880;220574;;;
80880;220581;;;
80880;220583;;;
80880;220606;;;
80880;220621;;;
80880;220654;;;
80880;220673;;;
80880;220694;;;
80880;220699;;;
80880;220712;;;
80880;230767;;;
80880;234388;;;
80882;74171;;;
80882;74398;;;
80882;160758;;;
80882;204365;;;
80882;204368;;;
80882;204408;;;
80882;204412;;;
80882;204427;;;
80882;204512;;;
80882;220538;;;
80882;220543;;;
80882;220568;;;
80882;220574;;;
80882;220578;;;
80882;220581;;;
80882;220583;;;
80882;220602;;;
80882;220606;;;
80882;220621;;;
80882;220654;;;
80882;220694;;;
80882;220699;;;
80882;224333;;;
80882;230767;;;
80887;73701;;;
80887;74060;;;
80887;74374;;;
80887;178992;;;
80887;204378;;;
80887;204462;;;
80887;220632;;;
80888;73701;;;
80888;74060;;;
80888;204367;;;
80888;204462;;;
80888;220571;;;
80888;220595;;;
80888;220632;;;
80889;73701;;;
80889;74060;;;
80889;74374;;;
80889;156190;;;
80889;178992;;;
80889;204365;;;
80889;204367;;;
80889;204378;;;
80889;204462;;;
80889;220632;;;
80890;73701;;;
80890;156190;;;
80890;204378;;;
80890;204462;;;
80890;220571;;;
80892;73701;;;
80892;74374;;;
80892;156190;;;
80892;178992;;;
80892;204365;;;
80892;204462;;;
80892;220595;;;
80892;220632;;;
80894;73701;;;
80894;74060;;;
80894;204367;;;
80894;204378;;;
80894;220632;;;
80896;156190;;;
80896;178992;;;
80896;220595;;;
80896;220673;;;
80897;73701;;;
80897;204462;;;
80897;220595;;;
80898;73701;;;
80898;74060;;;
80898;74262;;;
80898;74374;;;
80898;156190;;;
80898;178992;;;
80898;204365;;;
80898;204367;;;
80898;204378;;;
80898;204462;;;
80898;220565;;;
80898;220571;;;
80898;220595;;;
80898;220632;;;
80898;220673;;;
80899;73701;;;
80899;74060;;;
80899;204365;;;
80899;204378;;;
80899;204462;;;
80899;220571;;;
80899;220595;;;
80899;220632;;;
80900;73701;;;
80900;74060;;;
80900;178992;;;
80900;204367;;;
80900;204378;;;
80900;204462;;;
80900;220565;;;
80900;220571;;;
80900;220595;;;
80900;220632;;;
80901;204365;;;
80901;204462;;;
80901;220565;;;
80901;220632;;;
80902;73701;;;
80902;74060;;;
80902;204378;;;
80902;220595;;;
80902;220632;;;
80903;73701;;;
80903;74060;;;
80903;74374;;;
80903;204378;;;
80903;204462;;;
80903;220565;;;
80903;220571;;;
80903;220595;;;
80903;220632;;;
80904;73701;;;
80904;74060;;;
80904;74374;;;
80904;204367;;;
80904;204462;;;
80904;220565;;;
80904;220571;;;
80904;220595;;;
80904;220632;;;
80906;73701;;;
80906;156190;;;
80906;204462;;;
80906;220632;;;
80908;73701;;;
80908;204378;;;
80908;204462;;;
80908;220632;;;
80909;73701;;;
80909;74060;;;
80909;178992;;;
80909;204378;;;
80913;73701;;;
80913;74060;;;
80913;74374;;;
80913;156190;;;
80913;178992;;;
80913;204365;;;
80913;204367;;;
80913;204378;;;
80913;204462;;;
80913;220565;;;
80913;220571;;;
80913;220595;;;
80913;220632;;;
80913;220673;;;
80914;73701;;;
80914;74060;;;
80914;74374;;;
80914;204365;;;
80914;204378;;;
80914;204462;;;
80914;220571;;;
80914;220595;;;
80914;220632;;;
80917;73701;;;
80917;204378;;;
80917;204462;;;
80917;220632;;;
80919;73701;;;
80919;204378;;;
80919;204462;;;
80919;220595;;;
80919;220632;;;
80923;73701;;;
80923;74374;;;
80923;156190;;;
80923;204378;;;
80923;204462;;;
80923;220595;;;
80923;220632;;;
80924;73701;;;
80924;74374;;;
80924;156190;;;
80924;204378;;;
80924;204462;;;
80924;220595;;;
80924;220632;;;
80926;74374;;;
80926;204378;;;
80926;204462;;;
80926;220632;;;
80928;62881;;;
80928;66828;;;
80928;69871;;;
80928;72442;;;
80928;73441;;;
80928;73486;;;
80928;73531;;;
80928;73579;;;
80928;73604;;;
80928;73692;;;
80928;73701;;;
80928;73768;;;
80928;73778;;;
80928;73788;;;
80928;73801;;;
80928;73808;;;
80928;74041;;;
80928;74043;;;
80928;74044;;;
80928;74057;;;
80928;74060;;;
80928;74065;;;
80928;74075;;;
80928;74079;;;
80928;74084;;;
80928;74090;;;
80928;74095;;;
80928;74156;;;
80928;74158;;;
80928;74159;;;
80928;74160;;;
80928;74161;;;
80928;74171;;;
80928;74253;;;
80928;74262;;;
80928;74270;;;
80928;74273;;;
80928;74283;;;
80928;74299;;;
80928;74317;;;
80928;74356;;;
80928;74371;;;
80928;74374;;;
80928;74376;;;
80928;74383;;;
80928;74398;;;
80928;74400;;;
