ano_dados;uri_proposicao;cod_tema;tema;relevancia
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348398;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348719;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348718;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348717;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348716;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348715;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348714;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348713;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348712;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348711;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348709;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348708;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348707;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348705;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348704;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348703;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348702;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348701;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348700;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348692;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348691;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348690;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348689;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348688;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348687;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348686;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348685;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348684;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348683;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2348823;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356358;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356422;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2355791;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2354220;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2355557;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356239;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356249;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356233;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2356230;34;Administração Pública;0
2023;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2354019;34;Administração Pública;0
