"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2581292";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581292";"220551";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"10000";"Deputado(a)";"Franciane Bayer";"REPUBLIC";"";"RS";"1";"1"
"2581291";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581291";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado(a)";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"1";"1"
"2581290";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581290";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado(a)";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"1";"1"
"2581289";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581289";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581288";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581288";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado(a)";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"1";"1"
"2581287";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581287";"220551";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"10000";"Deputado(a)";"Franciane Bayer";"REPUBLIC";"";"RS";"1";"1"
"2581286";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581286";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581285";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581285";"98615";"https://dadosabertos.camara.leg.br/api/v2/deputados/98615";"10000";"Deputado(a)";"Ismael";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SC";"1";"1"
"2581284";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581284";"98615";"https://dadosabertos.camara.leg.br/api/v2/deputados/98615";"10000";"Deputado(a)";"Ismael";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SC";"1";"1"
"2581283";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581283";"160512";"https://dadosabertos.camara.leg.br/api/v2/deputados/160512";"10000";"Deputado(a)";"Aureo Ribeiro";"SOLIDARI";"";"RJ";"1";"1"
"2581282";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581282";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581281";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581281";"204449";"https://dadosabertos.camara.leg.br/api/v2/deputados/204449";"10000";"Deputado(a)";"Nelson Barbudo";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MT";"1";"1"
"2581280";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581280";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581279";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581279";"220551";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"10000";"Deputado(a)";"Franciane Bayer";"REPUBLIC";"";"RS";"1";"1"
"2581276";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581276";"204535";"https://dadosabertos.camara.leg.br/api/v2/deputados/204535";"10000";"Deputado(a)";"Sâmia Bomfim";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"SP";"1";"1"
"2581275";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581275";"220551";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"10000";"Deputado(a)";"Franciane Bayer";"REPUBLIC";"";"RS";"1";"1"
"2581274";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581274";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581273";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581273";"74356";"https://dadosabertos.camara.leg.br/api/v2/deputados/74356";"10000";"Deputado(a)";"Silas Câmara";"REPUBLIC";"";"AM";"1";"1"
"2581272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581272";"220618";"https://dadosabertos.camara.leg.br/api/v2/deputados/220618";"10000";"Deputado(a)";"Sargento Portugal";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"RJ";"1";"1"
"2581271";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581271";"153423";"https://dadosabertos.camara.leg.br/api/v2/deputados/153423";"10000";"Deputado(a)";"Renilce Nicodemos";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"PA";"1";"1"
"2581270";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581270";"74158";"https://dadosabertos.camara.leg.br/api/v2/deputados/74158";"10000";"Deputado(a)";"Mário Heringer";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"MG";"1";"1"
"2581269";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581269";"220641";"https://dadosabertos.camara.leg.br/api/v2/deputados/220641";"10000";"Deputado(a)";"Rodrigo Gambale";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"SP";"1";"1"
"2581268";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581268";"220666";"https://dadosabertos.camara.leg.br/api/v2/deputados/220666";"10000";"Deputado(a)";"Coronel Meira";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"PE";"1";"1"
"2581267";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581267";"178881";"https://dadosabertos.camara.leg.br/api/v2/deputados/178881";"10000";"Deputado(a)";"Aluisio Mendes";"REPUBLIC";"";"MA";"1";"1"
"2581266";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581266";"220551";"https://dadosabertos.camara.leg.br/api/v2/deputados/220551";"10000";"Deputado(a)";"Franciane Bayer";"REPUBLIC";"";"RS";"1";"1"
"2581265";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581265";"178947";"https://dadosabertos.camara.leg.br/api/v2/deputados/178947";"10000";"Deputado(a)";"Sóstenes Cavalcante";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"2";"0"
"2581265";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581265";"156190";"https://dadosabertos.camara.leg.br/api/v2/deputados/156190";"10000";"Deputado(a)";"Marcel van Hattem";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"RS";"1";"1"
"2581265";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581265";"204518";"https://dadosabertos.camara.leg.br/api/v2/deputados/204518";"10000";"Deputado(a)";"Dr. Frederico";"PRD";"https://dadosabertos.camara.leg.br/api/v2/partidos/38010";"MG";"3";"0"
"2581264";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581264";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2008";"2";"COMISSÃO PERMANENTE";"Comissão de Desenvolvimento Econômico";"";"";"";"1";"1"
"2581263";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581263";"220618";"https://dadosabertos.camara.leg.br/api/v2/deputados/220618";"10000";"Deputado(a)";"Sargento Portugal";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"RJ";"1";"1"
"2581262";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581262";"220604";"https://dadosabertos.camara.leg.br/api/v2/deputados/220604";"10000";"Deputado(a)";"Marcos Tavares";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RJ";"1";"1"
"2581261";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581261";"220534";"https://dadosabertos.camara.leg.br/api/v2/deputados/220534";"10000";"Deputado(a)";"Fred Linhares";"REPUBLIC";"";"DF";"1";"1"
"2581261";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581261";"74158";"https://dadosabertos.camara.leg.br/api/v2/deputados/74158";"10000";"Deputado(a)";"Mário Heringer";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"MG";"2";"0"
"2581261";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2581261";"122974";"https://dadosabertos.camara.leg.br/api/v2/deputados/122974";"10000";"Deputado(a)";"Pedro Lucas Fernandes";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"MA";"3";"0"
