Q10 - Alinhamento interno dos partidos
(Qual partido convence mais seus deputados a seguir a orientacao partidaria)

Q10 - Ranking de alinhamento interno - consolidado (2023-2026)
 posicao | sigla_partido | ideologia_score | ideologia_faixa | campo_ideologico | qtd_deputados | total_votos_com_diretriz | votos_alinhados | votos_contrarios | pct_alinhamento 
---------+---------------+-----------------+-----------------+------------------+---------------+--------------------------+-----------------+------------------+-----------------
 MDB           |           6.499 | Centro-direita  | direita          |      220586 | Rafael Brito                        |                       15 |              14 |                     93.33
 MDB           |           6.499 | Centro-direita  | direita          |      204474 | Juarez Costa                        |                       51 |              46 |                     90.20
 MDB           |           6.499 | Centro-direita  | direita          |      204498 | Olival Marques                      |                       17 |              14 |                     82.35
 MDB           |           6.499 | Centro-direita  | direita          |      178933 | Sergio Souza                        |                       14 |              11 |                     78.57
 MDB           |           6.499 | Centro-direita  | direita          |      161440 | Pezenti                             |                        4 |               3 |                     75.00
 MDB           |           6.499 | Centro-direita  | direita          |       74454 | Eunício Oliveira                    |                        6 |               4 |                     66.67
 MDB           |           6.499 | Centro-direita  | direita          |       74075 | Elcione Barbalho                    |                        2 |               1 |                     50.00
 MDB           |           6.499 | Centro-direita  | direita          |      220652 | Delegado Palumbo                    |                        3 |               1 |                     33.33
 MISSAO        |           7.750 | Direita         | direita          |      204536 | Kim Kataguiri                       |                       49 |              49 |                    100.00
 NOVO          |           8.666 | Extrema direita | direita          |      204365 | Gilson Marques                      |                      999 |             997 |                     99.80
 NOVO          |           8.666 | Extrema direita | direita          |      156190 | Marcel van Hattem                   |                      955 |             953 |                     99.79
 NOVO          |           8.666 | Extrema direita | direita          |      204455 | Luiz Lima                           |                      439 |             438 |                     99.77
