Ranking global - todos os anos
 id_deputado |                        nome                         | sigla_uf | sigla_partido | gasto_total 
      220612 | Carlos Roberto Rodrigues                            | RJ       | PP            |  1667609.95
      178933 | SERGIO DE SOUZA                                     | PR       | MDB           |  1666803.61
       74317 | JÚLIO CÉSAR DE CARVALHO LIMA                        | PI       | PSD           |  1666492.81
      204427 | FERNANDO RODOLFO TENORIO DE VASCONCELOS             | PE       | PRD           |  1666091.38
      141398 | CARLOS ALBERTO ROLIM ZARATTINI                      | SP       | PT            |  1663986.34
      178871 | EVAIR VIEIRA DE MELO                                | ES       | REPUBLICANOS  |  1662974.25
      220696 | IVONEIDE SOUZA CAETANO                              | BA       | PT            |  1662697.00
      220586 | RAFAEL DE GOES BRITO                                | AL       | MDB           |  1662620.94
      220545 | FILIPE MARTINS DOS SANTOS                           | TO       | PL            |  1662165.78
      204488 | CELIO STUDART BARBOSA                               | CE       | PSD           |  1660165.32
      162332 | LUIZ HILOSHI NISHIMORI                              | PR       | PSD           |  1658119.79
      220599 | MARCELO BEZERRA CRIVELLA                            | RJ       | REPUBLICANOS  |  1657671.33
      220547 | MARCOS SBOROWSKI POLLON                             | MS       | PL            |  1655003.30
      204408 | LUIZ AUGUSTO CARVALHO RIBEIRO FILHO                 | SE       | PP            |  1654030.20
      160601 | MARCO ANTÔNIO FELICIANO                             | SP       | PL            |  1652267.49
      204351 | LUIZ ALBERTO OVANDO                                 | MS       | PP            |  1650368.40
       80815 | LEONARDO SILVA PRATES                               | BA       | REPUBLICANOS  |  1649588.15
       74467 | DAMIÃO FELICIANO DA SILVA                           | PB       | UNIAO         |  1649545.52
      220529 | GILSON DANIEL BATISTA                               | ES       | PODE          |  1649272.16
      204518 | FREDERICO DE CASTRO ESCALEIRA                       | MG       | PL            |  1649199.60
       92102 | LEUR ANTONIO DE BRITTO LOMANTO JUNIOR               | BA       | UNIAO         |  1648876.74
       66385 | JULIO FERRAZ ARCOVERDE                              | PI       | PP            |  1648449.55
      204457 | ROGERIO TEIXEIRA JUNIOR                             | RJ       | PSDB          |  1646783.90
      220607 | MAX RODRIGUES LEMOS                                 | RJ       | UNIAO         |  1646068.16
      204445 | FERNANDO WANDERLEY VARGAS DA SILVA                  | RN       | PT            |  1645404.84
      220626 | RAFAEL TADEU SIMÕES                                 | MG       | UNIAO         |  1644233.85
      220628 | MAURICIO LUIZ DE SOUZA                              | MG       | PL            |  1643694.18
      220692 | ADALBERTO ROSA BARRETO                              | BA       | UNIAO         |  1642095.54
      178992 | VITOR LIPPI                                         | SP       | PSD           |  1641385.86
      220530 | Manoel Messias Donato Bezerra                       | ES       | UNIAO         |  1641249.32
      150418 | MÁRCIO CARLOS MARINHO                               | BA       | REPUBLICANOS  |  1640509.36
       92776 | STEFANO AGUIAR DOS SANTOS                           | MG       | PSD           |  1639238.62
      220582 | DANIEL BARBOSA DE ALMEIDA SILVA                     | AL       | PP            |  1639066.07
      141464 | JOSÉ AIRTON FÉLIX CIRILO DA SILVA                   | CE       | PT            |  1638309.80
      220603 | DANIELLE DYTZ DA CUNHA                              | RJ       | PL            |  1637057.33
      160758 | DOMINGOS SÁVIO CAMPOS RESENDE                       | MG       | PL            |  1636518.11
      160610 | VALMIR CARLOS DA ASSUNÇÃO                           | BA       | PT            |  1635520.25
      221328 | ADILSON BARROSO OLIVEIRA                            | SP       | PL            |  1632988.41
      204512 | MARCELO EDUARDO FREITAS                             | MG       | UNIAO         |  1631279.64
       74057 | ALICE MAZZUCO PORTUGAL                              | BA       | PCDOB         |  1631172.12
      178857 | JORGE JOSE SANTOS PEREIRA SOLLA                     | BA       | PT            |  1630848.36
      220620 | ROSANGELA DE OLIVEIRA CAMPOS REIS                   | MG       | PL            |  1628916.17
      220648 | FERNANDO JOSE DE SOUZA MARANGONI                    | SP       | PODE          |  1628182.48
      220651 | SIMONE APARECIDA MARQUETO CURRALADAS                | SP       | PP            |  1627969.56
      220631 | SAMUEL JOSÉ RODRIGUES DE VIANA                      | MG       | UNIAO         |  1627474.09
      215043 | JOSIVALDO DOS SANTOS MELO                           | MA       | UNIAO         |  1627047.86
      204356 | AMARO ROCHA NASCIMENTO NETO                         | ES       | PP            |  1624761.11
      220594 | JONILDO JOSÉ DE ASSIS                               | MT       | PL            |  1624487.76
       74550 | JOÃO FELIPE DE SOUZA LEÃO                           | BA       | PP            |  1623888.06
      204398 | LUIS FELIPE BONATTO FRANCISCHINI                    | PR       | PODE          |  1622388.00
      204410 | LUISA CANZIANI DOS SANTOS SILVEIRA                  | PR       | UNIAO         |  1621643.61
      220667 | PEDRO HENRIQUE DE A. L. C. CAMPOS                   | PE       | PSB           |  1621479.34
      220670 | IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA        | PE       | MDB           |  1620891.01
       74371 | RUBENS OTONI GOMIDE                                 | GO       | PT            |  1618807.44
       74156 | JOSÉ LEONARDO COSTA MONTEIRO                        | MG       | PT            |  1618307.47
      220528 | VICTOR GAROZI LINHALIS                              | ES       | PSB           |  1617640.65
      220615 | HENRIQUE DOS SANTOS VIEIRA LIMA                     | RJ       | PSOL          |  1615350.44
      160527 | AGUINALDO VELLOSO BORGES RIBEIRO                    | PB       | PP            |  1613812.03
      141456 | JILMAR AUGUSTINHO TATTO                             | SP       | PT            |  1610509.66
      178858 | MARIO S. M. NEGROMONTE JR.                          | BA       | PSB           |  1609664.44
       74270 | GILBERTO NASCIMENTO SILVA                           | SP       | PODE          |  1607847.89
       66828 | FAUSTO RUY PINATO                                   | SP       | UNIAO         |  1607752.69
      220606 | REIMONT LUIZ OTONI SANTA BARBARA                    | RJ       | PT            |  1606652.87
      220554 | ALEXANDRE DUARTE LINDENMEYER                        | RS       | PT            |  1606529.87
      220704 | ANA CAROLINA MOURA MELO DARTORA                     | PR       | PT            |  1604385.83
      160556 | JOÃO CARLOS SIQUEIRA                                | MG       | PT            |  1602944.92
