q4_escolaridade_complementar

 escolaridade            | sigla_partido | id_deputado | nome                                                
 Pós-Graduação           | PL            |      178954 | LUCIO ANTONIO MOSQUINI                              
 Pós-Graduação           | PL            |       73692 | OSMAR GASPARINI TERRA                               
 Pós-Graduação           | PL            |      220654 | PAULO FRANCISCO MUNIZ BILYNSKYJ                     
 Pós-Graduação           | PL            |      204362 | RICARDO ZANATTA GUIDI                               
 Pós-Graduação           | PL            |      220644 | ROSANGELA MARIA WOLFF DE QUADROS MORO               
 Pós-Graduação           | PL            |      204416 | UBIRATAN ANTUNES SANDERSON                          
 Pós-Graduação           | PODE          |      220638 | ANTONIO CARLOS RODRIGUES                            
 Pós-Graduação           | PODE          |      220642 | BRUNO MARCELLO DE OLIVEIRA LIMA                     
 Pós-Graduação           | PODE          |      204511 | DAVID BEZERRA RIBEIRO SOARES                        
 Pós-Graduação           | PODE          |      220618 | JOSÉ PORTUGAL NETO                                  
 Pós-Graduação           | PP            |      160527 | AGUINALDO VELLOSO BORGES RIBEIRO                    
 Pós-Graduação           | PP            |      204356 | AMARO ROCHA NASCIMENTO NETO                         
 Pós-Graduação           | PP            |      220549 | ANY MACHADO ORTIZ                                   
 Pós-Graduação           | PP            |      220582 | DANIEL BARBOSA DE ALMEIDA SILVA                     
 Pós-Graduação           | PP            |      220583 | FABIO MICHEY COSTA DA SILVA                         
 Pós-Graduação           | PP            |      204531 | GUILHERME MURARO DERRITE                            
 Pós-Graduação           | PP            |      230768 | JOSE ADRIANO RIBEIRO DA SILVA                       
 Pós-Graduação           | PP            |      204376 | LUIZ ARMANDO SCHROEDER REIS                         
 Pós-Graduação           | PP            |      222142 | PAULO ADRIANO LOPES LUCINDA TELHADA                 
 Pós-Graduação           | PSB           |      220668 | MARIA LEAL ARRAES DE ALENCAR                        
 Pós-Graduação           | PSB           |      220528 | VICTOR GAROZI LINHALIS                              
 Pós-Graduação           | PSD           |      220698 | CARLOS ALBERTO GEBRIM PRETO                         
 Pós-Graduação           | PSD           |      160588 | DIEGO LEONARDO DE ANDRADE CARVALHO                  
 Pós-Graduação           | PSD           |      220708 | GABRIEL JOSE MOURA NUNES SOARES                     
 Pós-Graduação           | PSD           |      220570 | ISMAEL ALEXANDRINO JUNIOR                           
 Pós-Graduação           | PSD           |      220561 | KATARINA FEITOZA LIMA SANTANA                       
 Pós-Graduação           | PSD           |      220537 | MARIA HELENA TEIXEIRA LIMA                          
 Pós-Graduação           | PSD           |      178895 | MISAEL ARTUR FERREIRA VARELLA                       
 Pós-Graduação           | PSD           |      204573 | OTTO ROBERTO MENDONÇA DE ALENCAR FILHO              
 Pós-Graduação           | PSD           |      160518 | WELITON FERNANDES PRADO                             
 Pós-Graduação           | PT            |       73433 | ARLINDO CHIGNALIA JUNIOR                            
 Pós-Graduação           | PT            |      220602 | DIMAS DE PAIVA GADELHA JUNIOR                       
 Pós-Graduação           | PT            |      160538 | ELVINO JOSÉ BOHN GASS                               
 Pós-Graduação           | PT            |      220688 | FRANCISCO DE ASSIS DE OLIVEIRA COSTA                
 Pós-Graduação           | PT            |      107283 | GLEISI HELENA HOFFMANN                              
 Pós-Graduação           | PT            |      178873 | HELDER IGNACIO SALOMAO                              
 Pós-Graduação           | PT            |       74141 | JOSIAS GOMES DA SILVA                               
 Pós-Graduação           | PT            |      204559 | JOSÉ CERQUEIRA DE SANTANA NETO                      
 Pós-Graduação           | PT            |      171617 | PAULO FERNANDO DOS SANTOS                           
 Pós-Graduação           | PT            |       74283 | VICENTE PAULO DA SILVA                              
 Pós-Graduação           | PV            |       69871 | JOAO CARLOS BACELAR BATISTA                         
 Pós-Graduação           | PV            |      220533 | Reginaldo Veras Coelho                              
 Pós-Graduação           | REPUBLICANOS  |      204459 | DANIELA MOTE DE SOUZA CARNEIRO                      
 Pós-Graduação           | REPUBLICANOS  |      178871 | EVAIR VIEIRA DE MELO                                
 Pós-Graduação           | REPUBLICANOS  |      204491 | GILBERTO APARECIDO ABRAMO                           
 Pós-Graduação           | REPUBLICANOS  |      178966 | Geovânia de Sá                                      
 Pós-Graduação           | REPUBLICANOS  |      220560 | JOSE THIAGO ALVES DE CARVALHO                       
 Pós-Graduação           | REPUBLICANOS  |       80815 | LEONARDO SILVA PRATES                               
 Pós-Graduação           | REPUBLICANOS  |      204506 | MARCOS ANTONIO PEREIRA                              
 Pós-Graduação           | REPUBLICANOS  |      204540 | MARIA DO PARTO MENDES ROSAS                         
 Pós-Graduação           | REPUBLICANOS  |      220588 | ROBERTO DUARTE JUNIOR                               
 Pós-Graduação           | SOLIDARIEDADE |      220687 | MARCIO JOSE HONAISER                                
 Pós-Graduação           | UNIAO         |      220649 | CARLOS ALBERTO DA CUNHA                             
 Pós-Graduação           | UNIAO         |      178993 | CARLOS HENRIQUE AMORIM                              
 Pós-Graduação           | UNIAO         |      178854 | ELMAR JOSE VIEIRA NASCIMENTO                        
 Pós-Graduação           | UNIAO         |      178905 | FABIO PAULINO GARCIA                                
 Pós-Graduação           | UNIAO         |       74554 | JOSÉ ALVES ROCHA                                    
 Pós-Graduação           | UNIAO         |      160632 | JOSÉ SILVA SOARES                                   
 Pós-Graduação           | UNIAO         |      220701 | MATHEUS ARAUJO LAIOLA                               
 Pós-Graduação           | UNIAO         |      220685 | PAULO HENRIQUE COLETTI FERNANDES                    
 Pós-Graduação           | UNIAO         |      220631 | SAMUEL JOSÉ RODRIGUES DE VIANA                      
 Pós-Graduação           | UNIAO         |      220597 | THIAGO LEITE FLORES PEREIRA                         
 Secundário              | PP            |       74550 | JOÃO FELIPE DE SOUZA LEÃO                           
 Secundário              | PP            |      141480 | LÁZARO BOTELHO MARTINS                              
 Secundário Incompleto   | UNIAO         |      230762 | CLAUDIO MARIANO SILVA                               
 Superior                | AVANTE        |      220703 | ORLANDO SULZ DE ALMEIDA NETO                        
 Superior                | AVANTE        |       91228 | WALDEMAR DE ANDRADA IGNÁCIO DE OLIVEIRA             
 Superior                | CIDADANIA     |      178972 | ALEX SPINELLI MANENTE                               
 Superior                | CIDADANIA     |      141391 | ARNALDO CALIL PEREIRA JARDIM                        
 Superior                | CIDADANIA     |      164360 | CARMEN EMÍLIA BONFÁ ZANOTTO                         
 Superior                | MDB           |      204379 | ACÁCIO DA SILVA FAVACHO NETO                        
 Superior                | MDB           |       74696 | ALBERTO PEREIRA MOURÃO                              
 Superior                | MDB           |      225727 | ANA FLÁVIA RODRIGUES RAMIRO                         
 Superior                | MDB           |      220675 | ANTONIO LEOCÁDIO DOS SANTOS                         
 Superior                | MDB           |      123756 | ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA                  
 Superior                | MDB           |      204361 | CARLOS ALBERTO CHIODINI                             
 Superior                | MDB           |      178876 | CELIO ANTONIO DA SILVEIRA                           
 Superior                | MDB           |      141408 | CLEBER VERDE CORDEIRO MENDES                        
 Superior                | MDB           |       74454 | EUNÍCIO LOPES DE OLIVEIRA                           
 Superior                | MDB           |      160598 | FLÁVIA CARREIRO ALBUQUERQUE MORAIS                  
 Superior                | MDB           |      220653 | Fábio Eduardo de Oliveira Teruel                    
 Superior                | MDB           |      204436 | ISNALDO BULHOES BARROS JUNIOR                       
 Superior                | MDB           |      204574 | JOSE LOURENÇO BOMFIM JUNIOR                         
 Superior                | MDB           |      220542 | JOSÉ ALEXANDRE DOMINGUES GUIMARÃES                  
 Superior                | MDB           |       74079 | JOSÉ BENITO PRIANTE JÚNIOR                          
 Superior                | MDB           |      220699 | JOSÉ DIAS DE CASTRO NETO                            
 Superior                | MDB           |      230957 | João Cury Neto                                      
 Superior                | MDB           |       74478 | LUCIANO CALDAS BIVAR                                
 Superior                | MDB           |      178975 | LUIZ FELIPE BALEIA TENUTO ROSSI                     
 Superior                | MDB           |      229432 | LUIZ FERNANDO CARDOSO                               
 Superior                | MDB           |      179001 | MARCIO DELLA VALLE BIOLCHI                          
 Superior                | MDB           |      204431 | MARCOS AURÉLIO PÁDUA RIBEIRO GONÇALVES DE SAMPAIO   
 Superior                | MDB           |      226410 | MÁRCIO AURÉLIO CORRÊA                               
 Superior                | MDB           |      220532 | RAFAEL CAVALCANTI PRUDENTE                          
 Superior                | MDB           |      161440 | RAFAEL PEZENTI                                      
 Superior                | MDB           |      153423 | RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE          
 Superior                | MDB           |       73806 | Roseana Sarney Murad                                
 Superior                | MDB           |      220713 | SAULLO VELAME VIANNA                                
 Superior                | MDB           |       98148 | VALDIR VITAL COBALCHINI                             
 Superior                | MDB           |      220660 | YURY BRUNO ALENCAR ARAUJO                           
 Superior                | MDB           |      204412 | ZACARIAS CALIL HAMU                                 
 Superior                | NOVO          |      204455 | LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA        
 Superior                | NOVO          |      220633 | RICARDO DE AQUINO SALLES                            
 Superior                | Nao informado |      220643 | SONIA BONE DE SOUSA SILVA                           
 Superior                | PCDOB         |       74057 | ALICE MAZZUCO PORTUGAL                              
 Superior                | PCDOB         |      220555 | DAIANA SILVA DOS SANTOS                             
 Superior                | PCDOB         |       74060 | DANIEL GOMES DE ALMEIDA                             
 Superior                | PCDOB         |      204394 | GERVÁSIO AGRIPINO MAIA                              
 Superior                | PCDOB         |      160641 | MARCIVANIA DO SOCORRO DA ROCHA FLEXA                
 Superior                | PCDOB         |       81055 | MÁRCIO JERRY SARAIVA BARROSO                        
 Superior                | PCDOB         |      178987 | ORLANDO SILVA DE JESUS JUNIOR                       
 Superior                | PCDOB         |      230765 | REJANE DE ALMEIDA                                   
 Superior                | PCDOB         |       73801 | RENILDO VASCONCELOS CALHEIROS                       
 Superior                | PDT           |      178835 | AFONSO ANTUNES DA MOTTA                             
 Superior                | PDT           |       73486 | DARCI POMPEO DE MATTOS                              
 Superior                | PDT           |      228272 | DELIO PINHEIRO NETO                                 
 Superior                | PDT           |      220573 | DORINALDO BARBOSA MALAFAIA                          
 Superior                | PDT           |      160666 | FELIX DE ALMEIDA MENDONÇA JÚNIOR                    
 Superior                | PDT           |       74299 | JOSÉ LEÔNIDAS DE MENEZES CRISTINO                   
 Superior                | PDT           |       74158 | MÁRIO LÚCIO HERINGER                                
 Superior                | PL            |      220593 | ABILIO JACQUES BRUNINI MOUMER                       
 Superior                | PL            |      221328 | ADILSON BARROSO OLIVEIRA                            
 Superior                | PL            |      220690 | ALDEN JOSE LAZARO DA SILVA                          
 Superior                | PL            |      178937 | ALTINEU CÔRTES FREITAS COUTINHO                     
 Superior                | PL            |      220596 | AMÁLIA SCUDELER DE BARROS SANTOS                    
 Superior                | PL            |      204423 | ANDRÉ FERREIRA RODRIGUES                            
 Superior                | PL            |      204479 | ANTONIO CARLOS NICOLETTI                            
 Superior                | PL            |      204504 | ANTONIO CEZAR CORREIA FREIRE                        
 Superior                | PL            |      204374 | BEATRIZ KICIS TORRENTS DE SORDI                     
 Superior                | PL            |      204462 | CHRISTINE NOGUEIRA DOS REIS TONIETTO                
 Superior                | PL            |      204460 | Carlos Roberto Jordy Coelho de Mattos               
 Superior                | PL            |      204367 | DANIEL COSTA DE FREITAS                             
 Superior                | PL            |      220557 | DANIELA CRISTINA REINEHR                            
 Superior                | PL            |      178908 | EDER MAURO CARDOSO BARRA                            
 Superior                | PL            |       92346 | EDUARDO NANTES BOLSONARO                            
 Superior                | PL            |      220621 | EVANDRO GONÇALVES DA SILVA JÚNIOR                   
 Superior                | PL            |      204411 | FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO            
 Superior                | PL            |      220545 | FILIPE MARTINS DOS SANTOS                           
 Superior                | PL            |      204518 | FREDERICO DE CASTRO ESCALEIRA                       
 Superior                | PL            |      204520 | GERALDO JUNIO DO AMARAL                             
 Superior                | PL            |      220574 | GILBERTO GOMES DA SILVA                             
 Superior                | PL            |      204570 | GILDENEMIR DE LIMA SOUSA                            
 Superior                | PL            |      220526 | GILVAN AGUIAR COSTA                                 
 Superior                | PL            |      198197 | GREYCE DE QUEIROZ ELIAS                             
 Superior                | PL            |      220568 | GUSTAVO GAYER MACHADO DE ARAUJO                     
 Superior                | PL            |      204444 | HELIO FERNANDO BARBOSA LOPES                        
 Superior                | PL            |      213762 | HILKEA CARLA DE SOUZA MEDEIROS LIMA                 
