Q10 - Alinhamento interno dos partidos
(Qual partido convence mais seus deputados a seguir a orientacao partidaria)

Q10 - Ranking de alinhamento interno - consolidado (2023-2026)
 posicao | sigla_partido |    ideologia     | qtd_deputados | total_votos_com_diretriz | votos_alinhados | votos_contrarios | pct_alinhamento 
---------+---------------+------------------+---------------+--------------------------+-----------------+------------------+-----------------
 PL            | direita          |      204388 | Bibo Nunes                          |                      327 |             312 |                     95.41
 PL            | direita          |      226075 | Priscila Costa                      |                      109 |             104 |                     95.41
 PL            | direita          |       92346 | Eduardo Bolsonaro                   |                      193 |             184 |                     95.34
 PL            | direita          |      178946 | Soraya Santos                       |                      275 |             262 |                     95.27
 PL            | direita          |      220603 | Dani Cunha                          |                       21 |              20 |                     95.24
 PL            | direita          |      204507 | Carla Zambelli                      |                      209 |             199 |                     95.22
 PL            | direita          |      220619 | Delegado Ramagem                    |                      350 |             332 |                     94.86
 PL            | direita          |      204481 | Dr. Jaziel                          |                      288 |             273 |                     94.79
 PL            | direita          |      220557 | Daniela Reinehr                     |                      306 |             290 |                     94.77
 PL            | direita          |      204472 | José Medeiros                       |                      306 |             290 |                     94.77
 PL            | direita          |       73579 | Alberto Fraga                       |                      323 |             306 |                     94.74
 PL            | direita          |       74428 | Mendonça Filho                      |                       19 |              18 |                     94.74
 PL            | direita          |      220666 | Coronel Meira                       |                      351 |             332 |                     94.59
 PL            | direita          |      230767 | Rodrigo da Zaeli                    |                       70 |              66 |                     94.29
 PL            | direita          |      220545 | Filipe Martins                      |                      305 |             287 |                     94.10
 PL            | direita          |      160601 | Pr. Marco Feliciano                 |                      368 |             346 |                     94.02
 PL            | direita          |      178910 | Joaquim Passarinho                  |                      307 |             288 |                     93.81
 PL            | direita          |      220546 | Rodolfo Nogueira                    |                      338 |             317 |                     93.79
 PL            | direita          |      220610 | Dr. Fernando Máximo                 |                       16 |              15 |                     93.75
 PL            | direita          |      204462 | Chris Tonietto                      |                      309 |             289 |                     93.53
 PL            | direita          |      178829 | Capitão Augusto                     |                      338 |             316 |                     93.49
 PL            | direita          |      204572 | Capitão Alberto Neto                |                      353 |             330 |                     93.48
 PL            | direita          |      204473 | General Girão                       |                      322 |             301 |                     93.48
 PL            | direita          |       74383 | Giacobo                             |                      164 |             153 |                     93.29
 PL            | direita          |      204455 | Luiz Lima                           |                      252 |             235 |                     93.25
 PL            | direita          |      204364 | Eli Borges                          |                      279 |             260 |                     93.19
 PL            | direita          |      220655 | Mario Frias                         |                      262 |             244 |                     93.13
 PL            | direita          |      220547 | Marcos Pollon                       |                      405 |             377 |                     93.09
 PL            | direita          |       98057 | Lafayette de Andrada                |                       14 |              13 |                     92.86
 PL            | direita          |       74043 | Wellington Roberto                  |                      195 |             181 |                     92.82
 PL            | direita          |      220673 | Delegado Caveira                    |                      305 |             282 |                     92.46
 PL            | direita          |      160673 | Giovani Cherini                     |                      304 |             281 |                     92.43
 PL            | direita          |      220621 | Sargento Gonçalves                  |                      329 |             304 |                     92.40
 PL            | direita          |      220552 | Zucco                               |                      130 |             120 |                     92.31
 PL            | direita          |      204411 | Filipe Barros                       |                      242 |             223 |                     92.15
 PL            | direita          |      220550 | Mauricio Marcon                     |                       76 |              70 |                     92.11
 PL            | direita          |      220657 | André Fernandes                     |                      291 |             268 |                     92.10
 PL            | direita          |      209787 | Nikolas Ferreira                    |                      323 |             297 |                     91.95
 PL            | direita          |      204485 | Luiz Carlos Motta                   |                      285 |             262 |                     91.93
 PL            | direita          |       73692 | Osmar Terra                         |                       74 |              68 |                     91.89
 PL            | direita          |      204396 | Vermelho                            |                      170 |             156 |                     91.76
 PL            | direita          |      204360 | Silvia Cristina                     |                      210 |             192 |                     91.43
 PL            | direita          |      204374 | Bia Kicis                           |                      361 |             330 |                     91.41
 PL            | direita          |      214694 | Jorge Goetten                       |                      291 |             266 |                     91.41
 PL            | direita          |      220690 | Capitão Alden                       |                      328 |             299 |                     91.16
 PL            | direita          |      220526 | Gilvan da Federal                   |                      303 |             276 |                     91.09
 PL            | direita          |      220593 | Abilio Brunini                      |                      212 |             193 |                     91.04
 PL            | direita          |      204416 | Sanderson                           |                      299 |             272 |                     90.97
 PL            | direita          |      204460 | Carlos Jordy                        |                      383 |             348 |                     90.86
 PL            | direita          |      220558 | Zé Trovão                           |                      333 |             302 |                     90.69
 PL            | direita          |      204362 | Ricardo Guidi                       |                       90 |              81 |                     90.00
 PL            | direita          |      220644 | Rosangela Moro                      |                       20 |              18 |                     90.00
