Q11 complemento - nuvem de palavras completa por partido
 ano_dados | sigla_partido |                      token                       | frequencia 
      2023 | AVANTE        | desastres                                        |         10
      2023 | AVANTE        | decreto                                          |         10
      2023 | AVANTE        | tempo                                            |          9
      2023 | AVANTE        | partido                                          |          9
      2023 | AVANTE        | situação                                         |          9
      2023 | AVANTE        | urbano                                           |          9
      2023 | AVANTE        | federais                                         |          9
      2023 | AVANTE        | 2022                                             |          9
      2023 | AVANTE        | entre                                            |          9
      2023 | AVANTE        | familiar                                         |          9
      2023 | AVANTE        | organização                                      |          9
      2023 | AVANTE        | sua                                              |          9
      2023 | AVANTE        | presidente                                       |          9
      2023 | AVANTE        | estados                                          |          9
      2023 | AVANTE        | celebração                                       |          9
      2023 | AVANTE        | coletivo                                         |          9
      2023 | AVANTE        | abril                                            |          9
      2023 | AVANTE        | garantia                                         |          9
      2023 | AVANTE        | lesão                                            |          9
      2023 | AVANTE        | corporal                                         |          9
      2023 | AVANTE        | 2012                                             |          9
      2023 | AVANTE        | programa                                         |          9
      2023 | AVANTE        | mercado                                          |          9
      2023 | AVANTE        | moção                                            |          9
      2023 | AVANTE        | consumidor                                       |          9
      2023 | AVANTE        | uso                                              |          9
      2023 | AVANTE        | indígenas                                        |          9
      2023 | AVANTE        | não                                              |          9
      2023 | AVANTE        | distribuição                                     |          9
      2023 | AVANTE        | discutir                                         |          9
      2023 | AVANTE        | tratamento                                       |          9
      2023 | AVANTE        | centros                                          |          9
      2023 | AVANTE        | órgãos                                           |          8
      2023 | AVANTE        | membros                                          |          8
      2023 | AVANTE        | ace                                              |          8
      2023 | AVANTE        | acs                                              |          8
      2023 | AVANTE        | cargos                                           |          8
      2023 | AVANTE        | especial                                         |          8
      2023 | AVANTE        | estabelece                                       |          8
      2023 | AVANTE        | urbanos                                          |          8
      2023 | AVANTE        | estabelecer                                      |          8
      2023 | AVANTE        | atividades                                       |          8
      2023 | AVANTE        | solicita                                         |          8
      2023 | AVANTE        | templo                                           |          8
      2023 | AVANTE        | família                                          |          8
      2023 | AVANTE        | religiosa                                        |          8
      2023 | AVANTE        | execução                                         |          8
      2023 | AVANTE        | tecnologia                                       |          8
      2023 | AVANTE        | eventos                                          |          8
      2023 | AVANTE        | evento                                           |          8
      2023 | AVANTE        | evangélica                                       |          8
      2023 | AVANTE        | data                                             |          8
      2023 | AVANTE        | construção                                       |          8
      2023 | AVANTE        | político                                         |          8
      2023 | AVANTE        | decretolei                                       |          8
      2023 | AVANTE        | casp                                             |          8
      2023 | AVANTE        | pelos                                            |          8
      2023 | AVANTE        | presença                                         |          8
      2023 | AVANTE        | valores                                          |          8
      2023 | AVANTE        | animais                                          |          8
      2023 | AVANTE        | santas                                           |          8
      2023 | AVANTE        | competência                                      |          8
      2023 | AVANTE        | lojistas                                         |          8
      2023 | AVANTE        | comércio                                         |          8
      2023 | AVANTE        | projetos                                         |          8
      2023 | AVANTE        | duplicação                                       |          8
      2023 | AVANTE        | minigeração                                      |          8
      2023 | AVANTE        | liberdade                                        |          8
      2023 | AVANTE        | casas                                            |          8
      2023 | AVANTE        | cidadania                                        |          8
      2023 | AVANTE        | renda                                            |          8
      2023 | AVANTE        | bem                                              |          8
      2023 | AVANTE        | movimento                                        |          7
