Q5 complemento - ranking completo de fornecedores
 ano_dados |                                                                   fornecedor                                                                   | qtd_lancamentos | total_pago  
      2023 | CASA DE COMUNICACAO LTDA                                                                                                                       |               9 |   158075.00
      2023 | DISCOVER SERVICOS LTDA                                                                                                                         |              12 |   158000.00
      2023 | I DOS S RODRIGUES                                                                                                                              |               8 |   156000.00
      2023 | AGORA ES COMUNICAÇÃO E PESQUISA LTDA                                                                                                           |               8 |   155000.00
      2023 | eder florencio yanaguita                                                                                                                       |              11 |   154650.00
      2023 | Vitória Terra Comunicações LTDA                                                                                                                |               9 |   154400.00
      2023 | MOVIDA LOCACAO DE VEICULOS S.A.                                                                                                                |              60 |   154337.97
      2023 | ALPHA MARKETING E PESQUISA LTDA                                                                                                                |              10 |   153300.00
      2023 | YAMAGUCHI EMPREENDIMENTOS LTDA                                                                                                                 |              12 |   152452.00
      2023 | OFILOC LOCADORA LTDA                                                                                                                           |              24 |   152400.00
      2023 | MANUQUIP COMERCIO E SERVIÇOS LTDA                                                                                                              |              18 |   151506.67
      2023 | TAXCO LOCADORA DE BENS LTDA                                                                                                                    |              23 |   150213.00
      2023 | MF BRASIL SERVIÇOS ESPECIAIS LTDA                                                                                                              |               8 |   150200.79
      2023 | I DO MARKETING E CONSULTORIA LTDA                                                                                                              |               8 |   150080.00
      2023 | MARCOS VINICIUS SILVA ANDRADE                                                                                                                  |               2 |   150000.00
      2023 | VIA MIDIA PRODUCOES E SERVICOS LTDA                                                                                                            |              10 |   150000.00
      2023 | SOL G.V.COELHO COMUNICAÇÃO E MARKETING                                                                                                         |              10 |   150000.00
      2023 | CONNECT FILMES PRODUCAO DE FILMES E PUBLICIDADE EIRELI                                                                                         |               6 |   150000.00
      2023 | AAZ ASSESSORIA DE IMPRENSA E COMUNICAÇÃO - EIRELI-ME                                                                                           |              10 |   150000.00
      2023 | CREDITO REAL, IMO. E CONDOMÍNIOS SA                                                                                                            |              47 |   149948.97
      2023 | LEIRIA ADMINISTRADORA E EMPREENDIMENTOS IMOBILIARIOS S/S                                                                                       |              28 |   149436.08
      2023 | NOVACOM PROPAGANDA E MARKENTING LTDA-ME                                                                                                        |               8 |   149400.00
      2023 | POSTO DE COMBUSTIVEIS 206 LTDA                                                                                                                 |             274 |   149277.73
      2023 | A. S. LEITE SOBRINHO GRÁFICA                                                                                                                   |               8 |   149210.00
      2023 | NATAL EDIVAN CARDOSO                                                                                                                           |              11 |   148500.00
      2023 | 360 LOCAÇÕES EIRELI - ME                                                                                                                       |              31 |   148300.00
      2023 | G. COUTINHO DE MENEZES                                                                                                                         |               6 |   148100.00
      2023 | JI VEICULOS E SERVIÇOS LTDA.                                                                                                                   |              24 |   148000.00
      2023 | ALX BUREAU PRINT LTDA                                                                                                                          |               6 |   147445.00
      2023 | JOÃO PEDRO AGUIAR DIOGENES                                                                                                                     |              13 |   147000.00
      2023 | SERVCAR SOLUÇÕES AUTOMOTIVAS LTDA ME                                                                                                           |              21 |   146816.48
      2023 | PEDRO HENRIQUE MENEZES BEZERRA - PMZ CREATIVE STUDIO DE MARKETING LTDA                                                                         |              21 |   146700.00
      2023 | AUTO POSTO AEROPORTO LTDA                                                                                                                      |             804 |   146160.91
