Ranking global - todos os anos
 id_deputado |                nome                 | sigla_uf | sigla_partido | gasto_total 
      198783 | Emanuel Pinheiro Neto               | MT       | PSD           |  1565326.42
      160588 | Diego Andrade                       | MG       | PSD           |  1562881.33
      220652 | Delegado Palumbo                    | SP       | PODE          |  1562360.84
      220659 | Dayany Bittencourt                  | CE       | UNIAO         |  1562341.51
      204391 | José Nelto                          | GO       | UNIAO         |  1562030.80
       74160 | Patrus Ananias                      | MG       | PT            |  1560951.29
       98057 | Lafayette de Andrada                | MG       | REPUBLICANOS  |  1559375.54
      204395 | Pedro Lupion                        | PR       | REPUBLICANOS  |  1559059.41
      204574 | Junior Lourenço                     | MA       | PL            |  1558774.17
      204550 | Júnior Mano                         | CE       | PSB           |  1556996.17
      166402 | Magda Mofatto                       | GO       | PL            |  1553896.66
      220647 | Mauricio Neves                      | SP       | PP            |  1553625.51
      220700 | Florentino Neto                     | PI       | PT            |  1553369.87
       74856 | Laura Carneiro                      | RJ       | PSD           |  1552993.91
      204364 | Eli Borges                          | TO       | REPUBLICANOS  |  1552455.64
      160535 | Marcon                              | RS       | PT            |  1550474.51
      205865 | Reinhold Stephanes                  | PR       | PL            |  1549519.85
      224333 | Welter                              | PR       | PT            |  1548672.97
      178947 | Sóstenes Cavalcante                 | RJ       | PL            |  1547144.24
      178989 | Renata Abreu                        | SP       | PODE          |  1540563.43
      160518 | Weliton Prado                       | MG       | PSD           |  1539373.63
      141531 | Rodrigo de Castro                   | MG       | UNIAO         |  1538951.00
      178910 | Joaquim Passarinho                  | PA       | PL            |  1537105.11
      220570 | Dr. Ismael Alexandrino              | GO       | PSD           |  1533459.02
      204491 | Gilberto Abramo                     | MG       | REPUBLICANOS  |  1532741.80
      205550 | Jorge Braz                          | RJ       | REPUBLICANOS  |  1531288.55
      222429 | Luis Carlos Gomes                   | RJ       | REPUBLICANOS  |  1527930.69
      204407 | Fernanda Melchionna                 | RS       | PSOL          |  1527743.91
      178881 | Aluisio Mendes                      | MA       | REPUBLICANOS  |  1525394.82
       74574 | Paulo Magalhães                     | BA       | PSD           |  1523466.04
       74141 | Josias Gomes                        | BA       | PT            |  1520997.78
      220683 | Beto Richa                          | PR       | PSDB          |  1517785.57
      171617 | Paulão                              | AL       | PT            |  1514243.77
      160604 | Pedro Uczai                         | SC       | PT            |  1513755.04
      204441 | Otoni de Paula                      | RJ       | PSD           |  1513256.56
      220674 | Dra. Alessandra Haber               | PA       | PODE          |  1512152.50
      220527 | Jack Rocha                          | ES       | PT            |  1512112.54
      204412 | Dr. Zacharias Calil                 | GO       | UNIAO         |  1511934.97
      204525 | Rosana Valle                        | SP       | PL            |  1508849.55
      141391 | Arnaldo Jardim                      | SP       | CIDADANIA     |  1505997.54
      220655 | Mario Frias                         | SP       | PL            |  1504903.82
      220611 | General Pazuello                    | RJ       | PL            |  1504520.44
      161550 | Emidinho Madeira                    | MG       | PL            |  1504261.22
      204563 | Josimar Maranhãozinho               | MA       | PL            |  1503115.53
       73433 | Arlindo Chinaglia                   | SP       | PT            |  1502173.57
      204560 | Adolfo Viana                        | BA       | PSDB          |  1501887.64
      157130 | Túlio Gadêlha                       | PE       | REDE          |  1501886.31
      160599 | Dimas Fabiano                       | MG       | PP            |  1497430.77
      220622 | Nely Aquino                         | MG       | PODE          |  1494211.04
      220641 | Rodrigo Gambale                     | SP       | PODE          |  1492076.67
      220654 | Delegado Paulo Bilynskyj            | SP       | PL            |  1490770.50
      220706 | Padovani                            | PR       | PP            |  1489246.38
      220702 | Geraldo Mendes                      | PR       | UNIAO         |  1488201.25
      220580 | Professora Goreth                   | AP       | PDT           |  1486660.32
      165470 | Rodrigo Valadares                   | SE       | PL            |  1485962.83
      220635 | Bruno Ganem                         | SP       | PODE          |  1485863.77
      122158 | Pedro Paulo                         | RJ       | PSD           |  1485305.22
      220600 | Lebrão                              | RO       | UNIAO         |  1484839.30
      204570 | Pastor Gil                          | MA       | PL            |  1482042.89
      204559 | Zé Neto                             | BA       | PT            |  1481715.37
       98148 | Cobalchini                          | SC       | MDB           |  1478692.14
      220707 | Amanda Gentil                       | MA       | PP            |  1478520.97
      220564 | Yandra Moura                        | SE       | UNIAO         |  1477953.17
      220691 | Diego Coronel                       | BA       | REPUBLICANOS  |  1476720.91
      160558 | Paulo Freire Costa                  | SP       | PL            |  1476586.03
      220575 | Sonize Barbosa                      | AP       | PL            |  1476152.56
      141487 | Luiz Fernando Faria                 | MG       | UNIAO         |  1473569.37
      220579 | Silvia Waiãpi                       | AP       | PL            |  1472791.83
      220618 | Sargento Portugal                   | RJ       | PODE          |  1471127.74
      141555 | Vinicius Carvalho                   | SP       | REPUBLICANOS  |  1469871.26
       74646 | Aécio Neves                         | MG       | PSDB          |  1468588.17
      171786 | Miguel Ângelo                       | MG       | PT            |  1465285.95
      204460 | Carlos Jordy                        | RJ       | PL            |  1464169.54
      204394 | Gervásio Maia                       | PB       | PSB           |  1463666.78
      178854 | Elmar Nascimento                    | BA       | UNIAO         |  1463289.14
       98615 | Ismael                              | SC       | PL            |  1462449.97
      141431 | Fernando Coelho Filho               | PE       | UNIAO         |  1458132.71
      220566 | Lêda Borges                         | GO       | REPUBLICANOS  |  1457900.10
      220689 | Detinha                             | MA       | PL            |  1456289.93
       72442 | Felipe Carreras                     | PE       | PSB           |  1455863.95
      220613 | Roberto Monteiro Pai                | RJ       | PL            |  1455090.92
       74554 | José Rocha                          | BA       | UNIAO         |  1452190.29
      160598 | Flávia Morais                       | GO       | PDT           |  1451480.11
       73579 | Alberto Fraga                       | DF       | PL            |  1450680.07
      178943 | Marcos Soares                       | RJ       | UNIAO         |  1449944.35
      141516 | Paulo Abi-Ackel                     | MG       | PSDB          |  1443985.60
      220687 | Márcio Honaiser                     | MA       | SOLIDARIEDADE |  1443124.31
      220567 | Jeferson Rodrigues                  | GO       | PSDB          |  1441683.09
       74158 | Mário Heringer                      | MG       | PDT           |  1441306.68
      223128 | Rodrigo Estacho                     | PR       | PSD           |  1439474.62
      204535 | Sâmia Bomfim                        | SP       | PSOL          |  1437230.61
      160575 | Erika Kokay                         | DF       | PT            |  1435168.77
      220598 | Tarcísio Motta                      | RJ       | PSOL          |  1434528.67
      178876 | Célio Silveira                      | GO       | MDB           |  1433869.10
      220563 | Icaro de Valmir                     | SE       | REPUBLICANOS  |  1430554.86
       73701 | Benedita da Silva                   | RJ       | PT            |  1428329.71
      204419 | Glaustin da Fokus                   | GO       | PSC           |  1424210.33
      220585 | Mersinho Lucena                     | PB       | PSD           |  1421168.75
      220577 | Augusto Puppio                      | AP       | MDB           |  1419682.95
      204456 | Gutemberg Reis                      | RJ       | MDB           |  1419366.90
       74283 | Vicentinho                          | SP       | PT            |  1417420.09
      204526 | Luiz Philippe de Orleans e Bragança | SP       | PL            |  1414726.47
      220576 | Alfredo Gaspar                      | AL       | PL            |  1414686.44
       74161 | Reginaldo Lopes                     | MG       | PT            |  1414523.39
      220629 | Dandara                             | MG       | PT            |  1412281.42
      204515 | André Janones                       | MG       | REDE          |  1410041.59
      204404 | Lucas Redecker                      | RS       | PSDB          |  1409856.83
      160512 | Aureo Ribeiro                       | RJ       | SOLIDARIEDADE |  1406587.64
      220602 | Dimas Gadelha                       | RJ       | PT            |  1406557.26
      141458 | João Carlos Bacelar                 | BA       | PL            |  1406370.20
      220621 | Sargento Gonçalves                  | RN       | PL            |  1404926.88
      204464 | Talíria Petrone                     | RJ       | PSOL          |  1404165.06
      204524 | Pinheirinho                         | MG       | PP            |  1398799.84
      220661 | Matheus Noronha                     | CE       | PL            |  1397822.17
      220676 | Andreia Siqueira                    | PA       | PSB           |  1397106.11
      160640 | Eros Biondini                       | MG       | PL            |  1393216.48
      220623 | Duda Salabert                       | MG       | PSOL          |  1391715.16
      220605 | Bandeira de Mello                   | RJ       | PV            |  1391216.15
       74784 | Luiza Erundina                      | SP       | PSOL          |  1390630.25
      204572 | Capitão Alberto Neto                | AM       | PL            |  1388824.69
      214694 | Jorge Goetten                       | SC       | REPUBLICANOS  |  1387233.08
      204573 | Otto Alencar Filho                  | BA       | PSD           |  1386581.98
