deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
178933;Sergio Souza;MDB;762;1;True;
178934;Toninho Wandscheer;PP;929;0;True;
178937;Altineu Côrtes;PL;318;79;True;
178943;Marcos Soares;PSDB;488;3;True;
178945;Rosangela Gomes;REPUBLICANOS;76;0;True;
178946;Soraya Santos;PL;753;60;True;
178947;Sóstenes Cavalcante;PL;434;86;True;
178954;Lucio Mosquini;MDB;601;19;True;
178962;Carlos Gomes;REPUBLICANOS;231;0;True;
178963;Covatti Filho;PP;771;2;True;
178964;Heitor Schuch;PSD;571;17;True;
178966;Geovania de Sá;PSDB;702;7;True;
178970;João Daniel;PT;787;5;True;
178972;Alex Manente;CIDADANIA;427;0;True;
178975;Baleia Rossi;MDB;575;1;True;
178983;Marcio Alvino;PL;830;73;True;
178985;Miguel Lombardi;PL;822;66;True;
178986;Nilto Tatto;PT;943;4;True;
178987;Orlando Silva;PCDOB;853;1;True;
178989;Renata Abreu;PODE;641;1;True;
178992;Vitor Lippi;PSD;793;11;True;
178993;Carlos Henrique Gaguim;UNIAO;877;1;True;
178997;Moses Rodrigues;UNIAO;777;0;True;
179000;Marcelo Álvaro Antônio;PL;700;47;True;
179001;Márcio Biolchi;MDB;712;0;True;
180214;Pastor Diniz;UNIAO;827;1;True;
182146;Wolmer Araújo;SOLIDARIEDADE;57;1;True;
188097;Merlong Solano;PT;994;3;True;
191923;Flávio Nogueira;PT;1058;3;True;
198197;Greyce Elias;AVANTE;653;0;True;
198783;Emanuel Pinheiro Neto;PSD;709;2;True;
204351;Dr. Luiz Ovando;PP;889;0;True;
204353;Aline Gurgel;UNIAO;99;0;True;
204355;Da Vitoria;PP;906;0;True;
204356;Amaro Neto;PP;945;0;True;
204358;Beto Pereira;PSDB;725;2;True;
204360;Silvia Cristina;PP;826;42;True;
204361;Carlos Chiodini;MDB;348;0;True;
204362;Ricardo Guidi;PL;585;4;True;
204364;Eli Borges;REPUBLICANOS;753;53;True;
204365;Gilson Marques;NOVO;984;106;True;
204367;Daniel Freitas;PL;815;55;True;
204368;Fabio Schiochet;UNIAO;891;0;True;
204369;Caroline de Toni;PL;937;46;True;
204372;Julio Cesar Ribeiro;REPUBLICANOS;682;0;True;
204374;Bia Kicis;PL;942;62;True;
204376;Coronel Armando;PP;152;0;True;
204378;Coronel Chrisóstomo;PL;816;73;True;
204379;Acácio Favacho;MDB;750;1;True;
204387;Sargento Fahur;PL;1003;1;True;
204388;Bibo Nunes;PL;883;68;True;
204390;Professor Alcides;PL;760;54;True;
204391;José Nelto;UNIAO;610;2;True;
204394;Gervásio Maia;PCDOB;1006;2;True;
204395;Pedro Lupion;REPUBLICANOS;643;0;True;
204396;Vermelho;PP;562;29;True;
204398;Felipe Francischini;PODE;954;1;True;
204404;Lucas Redecker;PSD;1087;0;True;
204406;Pedro Westphalen;PP;822;0;True;
204407;Fernanda Melchionna;PSOL;833;30;True;
204408;Gustinho Ribeiro;REPUBLICANOS;852;0;True;
204409;Daniel Trzeciak;PSDB;830;1;True;
