"deputy_id","name","party","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"220668","Maria Arraes","PSB",507,11,23,428,0.9013435244560242,0.9649122807017544,0.8057109117507935,-0.05322977900505066,0,0,0
"220669","Lula da Fonte","PP",440,27,17,289,0.8388786911964417,0.943078913324709,0.3788125216960907,0.369630366563797,0,0,0
"220670","Iza Arruda","MDB",437,21,25,278,0.8507197499275208,0.9395532194480947,0.4880506992340088,0.2480287104845047,0,0,0
"220671","Dilvanda Faro","PT",501,3,14,390,0.9423666596412659,0.9812775330396476,0.8655407428741455,0.15296025574207306,0,0,0
"220672","Henderson Pinto","MDB",459,36,18,276,0.8268349766731262,0.9315589353612167,0.2972731292247772,0.3939903676509857,0,0,0
"220673","Delegado Caveira","PL",380,9,26,397,0.8866900205612183,0.9568965517241379,-0.6421604156494141,-0.36268481612205505,0,0,0
"220674","Dra. Alessandra Haber","PODE",358,16,22,196,0.8164799809455872,0.9358108108108109,0.34799152612686157,0.1622781753540039,0,0,0
"220675","Antônio Doido","MDB",488,32,20,303,0.8490068912506104,0.9383155397390273,0.3711627721786499,0.7751868963241577,0,0,0
"220676","Andreia Siqueira","MDB",427,23,25,256,0.835655152797699,0.9343365253077975,0.42118558287620544,0.28895798325538635,0,0,0
"220677","Keniston Braga","MDB",457,33,18,264,0.8288522958755493,0.9339378238341969,0.40776383876800537,0.5655830502510071,0,0,0
"220681","Fábio Macedo","PODE",383,23,28,230,0.8086037039756775,0.9231927710843374,0.46675658226013184,0.2851172983646393,0,0,0
"220682","Tadeu Veneri","PT",464,15,9,356,0.910667896270752,0.9715639810426541,0.9045867323875427,-0.25075563788414,0,0,0
"220683","Beto Richa","PSDB",522,53,51,317,0.7477118968963623,0.8897136797454931,0.27951982617378235,0.025927601382136345,0,0,0
"220684","Tião Medeiros","PP",375,68,26,263,0.7491017580032349,0.8715846994535519,0.1516127586364746,0.4754566550254822,0,0,0
"220685","Paulo Litro","PSD",466,67,39,287,0.7502671480178833,0.8766006984866124,0.20375290513038635,0.158358633518219,0,0,0
"220686","Duarte Jr.","AVANTE",448,58,81,346,0.7084751129150391,0.8510182207931404,0.5615702271461487,-0.5720618963241577,0,0,0
"220687","Márcio Honaiser","PDT",422,28,20,273,0.8330206274986267,0.9353970390309556,0.4698809087276459,0.18013563752174377,0,0,0
"220688","Dr. Francisco","PT",496,6,11,388,0.9327797889709473,0.9811320754716981,0.8675522804260254,0.12861737608909607,0,0,0
"220689","Detinha","PL",248,20,50,170,0.7068613767623901,0.8565573770491803,-0.09865294396877289,0.07084549218416214,0,0,0
"220690","Capitão Alden","PL",417,35,32,433,0.8346730470657349,0.9269356597600873,-0.5055344104766846,-0.3982680141925812,0,0,0
"220691","Diego Coronel","REPUBLICANOS",537,23,23,370,0.8585423231124878,0.9517313746065058,0.4145147204399109,0.46587732434272766,0,0,0
"220692","Dal Barreto","UNIAO",441,19,17,275,0.8631770610809326,0.9521276595744681,0.3358466625213623,0.4877811372280121,0,0,0
"220693","Roberta Roma","PL",329,11,31,313,0.8607839941978455,0.9385964912280702,-0.39752957224845886,-0.20114488899707794,0,0,0
"220694","Ricardo Maia","MDB",468,27,22,296,0.8445755839347839,0.939729397293973,0.4524558484554291,0.5105395317077637,0,0,0
"220695","Rogéria Santos","REPUBLICANOS",500,12,14,286,0.8911049365997314,0.9679802955665024,0.34650206565856934,0.9380492568016052,0,0,0
"220696","Ivoneide Caetano","PT",489,3,6,386,0.9496477842330933,0.9898190045248869,0.8914371132850647,-0.007718799170106649,0,0,0
"220697","Jadyel Alencar","REPUBLICANOS",416,28,18,233,0.8419176936149597,0.9338129496402877,0.43870875239372253,0.48774898052215576,0,0,0
"220698","Beto Preto","PSD",63,6,4,38,0.771919310092926,0.9099099099099099,0.2321949154138565,0.005327245220541954,0,0,0
"220699","Castro Neto","PSD",453,26,22,302,0.8603954911231995,0.9402241594022416,0.4694947600364685,0.37518638372421265,0,0,0
"220700","Florentino Neto","PT",455,2,9,364,0.9500166773796082,0.9867469879518073,0.86913001537323,0.15778228640556335,0,0,0
"220701","Delegado Matheus Laiola","UNIAO",513,59,37,339,0.7732676267623901,0.8987341772151899,0.3914058208465576,0.006904354318976402,0,0,0
"220702","Geraldo Mendes","UNIAO",355,42,29,205,0.7672463059425354,0.8874801901743264,0.22477740049362183,0.3060351312160492,0,0,0
"220703","Neto Carletto","AVANTE",502,21,16,325,0.8787941932678223,0.9571759259259259,0.40246719121932983,0.5629263520240784,0,0,0
"220704","Carol Dartora","PT",375,4,3,273,0.9484162330627441,0.9893129770992366,0.8947021961212158,-0.05715086683630943,0,0,0
"220705","Deltan Dallagnol","PODE",36,3,4,32,0.7621145844459534,0.9066666666666666,-0.4138931632041931,-0.45122286677360535,0,0,0
"220706","Padovani","UNIAO",235,52,36,159,0.6958321332931519,0.8174273858921162,-0.11429426819086075,0.2381204515695572,0,0,0
"220707","Amanda Gentil","PP",351,22,11,225,0.8690841794013977,0.9458128078817734,0.4093502163887024,0.545161247253418,0,0,0
"220708","Gabriel Nunes","PSD",531,36,29,344,0.8476788401603699,0.9308510638297872,0.5093652606010437,0.22993695735931396,0,0,0
"220712","Fausto Jr.","UNIAO",404,24,15,241,0.8401705622673035,0.9429824561403509,0.3259626030921936,0.5248664021492004,0,0,0
"220713","Saullo Vianna","MDB",274,21,19,161,0.769355297088623,0.9157894736842105,0.370960533618927,0.1602623462677002,0,0,0
"220714","Adail Filho","MDB",542,23,14,348,0.8822585344314575,0.9600862998921251,0.3463304042816162,0.86936187744140625,0,0,0
"220715","Amom Mandel","CIDADANIA",320,71,82,205,0.6099256277084351,0.7743362831858407,0.28051844239234924,-0.5979181528091431,0,0,0
"221148","Alfredinho","PT",523,2,12,411,0.940491259098053,0.9852320675105485,0.8773100972175598,0.10546725243330002,0,0,0
"221328","Adilson Barroso","PL",391,17,30,338,0.8471322059631348,0.9394329896907216,-0.4173188805580139,-0.03906462714076042,0,0,0
"221329","Ricardo Abrão","PSDB",272,19,11,141,0.8266710042953491,0.9322799097065463,0.2959098815917969,0.5681270956993103,0,0,0
"221338","Professora Luciene Cavalcante","PSOL",435,39,18,434,0.8763779997825623,0.9384449244060475,0.7103346586227417,-0.7038640379905701,0,0,0
"221339","Dr. Benjamim","UNIAO",238,13,13,140,0.83454430103302,0.9356435643564357,0.36717867851257324,0.45025140047073364,0,0,0
"221378","Reginete Bispo","PT",243,8,2,161,0.9171181917190552,0.9758454106280193,0.8604140281677246,-0.14952969551086426,0,0,0
"222142","Coronel Telhada","PP",151,20,13,152,0.7635876536369324,0.9017857142857143,-0.5102589726448059,-0.20667214691638947,0,0,0
"222429","Luis Carlos Gomes","REPUBLICANOS",483,26,18,293,0.8663378357887268,0.9463414634146341,0.2838025689125061,0.958882749080658,0,0,0
"222565","Soldado Noelio","UNIAO",17,1,1,17,0.7645187973976135,0.9444444444444444,-0.3837544918060303,-0.6915033459663391,0,0,0
"223128","Rodrigo Estacho","PSD",366,96,62,271,0.6544759273529053,0.8012578616352202,0.031627316027879715,-0.08629725128412247,0,0,0
"223398","Ulisses Guimarães","MDB",40,9,1,20,0.7122637033462524,0.8571428571428571,0.0894821509718895,0.18643543124198914,0,0,0
"224117","Gabriel Mota","UNIAO",539,22,20,345,0.8843196034431458,0.9546436285097192,0.3653835356235504,0.9308570623397827,0,0,0
"224333","Welter","PT",477,5,5,381,0.9334927201271057,0.988479262672811,0.8687360286712646,-0.028140131384134293,0,0,0
"225386","Renan Ferreirinha","PSD",49,0,3,22,0.9022982716560364,0.9594594594594594,0.5058261752128601,0.153666689991951,0,0,0
"225727","Flavinha","MDB",37,20,6,40,0.5999760031700134,0.7475728155339806,0.1040709987282753,0.06724987924098969,0,0,0
"225730","Enfermeira Ana Paula","PODE",163,13,11,98,0.7850846648216248,0.9157894736842105,0.5683926343917847,0.07591427862644196,0,0,0
"226075","Priscila Costa","PL",53,1,2,52,0.9233099818229675,0.9722222222222222,-0.7739112377166748,-0.6332942247390747,0,0,0
"226179","Gisela Simona","UNIAO",451,87,69,412,0.7001501321792603,0.8469087340529932,0.16736531257629395,-0.3601006865501404,0,0,0
"226410","Márcio Correa","MDB",45,4,11,34,0.7365507483482361,0.8404255319148937,-0.5473325252532959,-0.23797249794006348,0,0,0
"226553","Eliane Braz","PSD",31,1,2,40,0.9040870666503906,0.9594594594594594,0.36477845907211304,0.42547035217285156,0,0,0
"226708","Allan Garcês","PP",308,68,57,248,0.6998924016952515,0.8164464023494861,-0.09123282879590988,0.25683197379112244,0,0,0
"226837","Saulo Pedroso","PSD",332,41,30,223,0.762084424495697,0.8865814696485623,0.3780028820037842,-0.08420666307210922,0,0,0
"227275","Mariana Carvalho","REPUBLICANOS",33,14,14,14,0.5525516271591187,0.6266666666666667,-0.07943013310432434,-0.03247915208339691,0,0,0
"227310","Silvio Antonio","PL",80,2,9,65,0.8556334376335144,0.9294871794871795,-0.38534224033355713,-0.18252547085285187,0,0,0
"227323","Luciano Galego","PL",26,4,6,20,0.7783456444740295,0.8214285714285714,-0.29756787419319153,-0.3579195439815521,0,0,0
"227324","Henrique Júnior","PL",52,0,4,24,0.7956251502037048,0.95,0.3030248284339905,0.04390200227499008,0,0,0
"227370","Felipe Saliba","PRD",37,15,7,26,0.5921832323074341,0.7411764705882353,-0.11022744327783585,-0.04517392814159393,0,0,0
"227401","Dr Fabio Rueda","UNIAO",44,7,3,20,0.7198176383972168,0.8648648648648649,0.02237151376903057,0.2530340254306793,0,0,0
"227433","Douglas Viegas","UNIAO",261,74,37,209,0.6776537299156189,0.8089500860585198,0.29516300559043884,-0.3250789940357208,0,0,0
"227660","Nitinho","PSD",167,9,11,107,0.8183597922325134,0.9319727891156463,0.3492819368839264,0.3691405951976776,0,0,0
"227800","Duarte Gonçalves Jr","REPUBLICANOS",40,7,2,16,0.6659446954727173,0.8615384615384616,0.16129815578460693,0.2401033341884613,0,0,0
"227991","Dr Flávio","PL",90,2,4,70,0.8753224611282349,0.963855421686747,-0.32035401463508606,-0.024861324578523636,0,0,0
"228042","Naumi Amorim","PSD",15,0,2,7,0.8159509301185608,0.9166666666666666,0.3910268545150757,0.3095424473285675,0,0,0
"228272","Délio Pinheiro","PDT",32,2,3,13,0.7303310632705688,0.9,0.47234126925468445,-0.2176245152950287,0,0,0
