 ano_dados | id_votacao  |                        titulo_proposicao                         | ideologia_score_medio | ideologia_faixa  | campo_ideologico | votos_sim | votos_nao | outros | total_votos | pct_sim 
-----------+-------------+------------------------------------------------------------------+-----------------------+------------------+------------------+-----------+-----------+--------+-------------+---------
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 1.415 | Extrema esquerda | esquerda         |         0 |        10 |      0 |          10 |     0.0
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 2.597 | Esquerda         | esquerda         |         2 |        53 |      0 |          55 |     3.6
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 3.797 | Centro-esquerda  | esquerda         |        20 |        10 |      0 |          30 |    66.7
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 6.649 | Centro-direita   | direita          |        81 |         5 |      0 |          86 |    94.2
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.255 | Direita          | direita          |       125 |         3 |      1 |         129 |    96.9
      2023 | 1548579-144 | PRLP 1 => PL 182/2024 (Nº Anterior: PL 2148/2015)                |                 8.784 | Extrema direita  | direita          |        73 |         0 |      9 |          82 |    89.0
      2023 | 1555327-87  | PRL 1 CCJC => PL 2288/2015                                       |                 1.415 | Extrema esquerda | esquerda         |         0 |         2 |      0 |           2 |     0.0
      2023 | 1555327-87  | PRL 1 CCJC => PL 2288/2015                                       |                 2.679 | Esquerda         | esquerda         |         0 |        10 |      0 |          10 |     0.0
      2023 | 1555327-87  | PRL 1 CCJC => PL 2288/2015                                       |                 3.678 | Centro-esquerda  | esquerda         |         0 |         3 |      0 |           3 |     0.0
      2023 | 1555327-87  | PRL 1 CCJC => PL 2288/2015                                       |                 6.636 | Centro-direita   | direita          |         0 |         9 |      0 |           9 |     0.0
      2023 | 1555327-87  | PRL 1 CCJC => PL 2288/2015                                       |                 8.235 | Direita          | direita          |         1 |         8 |      1 |          10 |    10.0
      2023 | 1555327-87  | PRL 1 CCJC => PL 2288/2015                                       |                 8.796 | Extrema direita  | direita          |         1 |         1 |      0 |           2 |    50.0
      2023 | 1555497-56  | PRL 1 CCJC => PEC 86/2015                                        |                 1.415 | Extrema esquerda | esquerda         |         2 |         0 |      0 |           2 |   100.0
      2023 | 1555497-56  | PRL 1 CCJC => PEC 86/2015                                        |                 2.679 | Esquerda         | esquerda         |         5 |         0 |      0 |           5 |   100.0
      2023 | 1555497-56  | PRL 1 CCJC => PEC 86/2015                                        |                 3.722 | Centro-esquerda  | esquerda         |         2 |         0 |      0 |           2 |   100.0
      2023 | 1555497-56  | PRL 1 CCJC => PEC 86/2015                                        |                 6.725 | Centro-direita   | direita          |         6 |         2 |      0 |           8 |    75.0
      2023 | 1555497-56  | PRL 1 CCJC => PEC 86/2015                                        |                 8.268 | Direita          | direita          |         0 |        10 |      0 |          10 |     0.0
      2023 | 1555497-56  | PRL 1 CCJC => PEC 86/2015                                        |                 8.787 | Extrema direita  | direita          |         0 |        14 |      0 |          14 |     0.0
      2023 | 1555497-62  | PRL 1 CCJC => PEC 86/2015                                        |                 1.415 | Extrema esquerda | esquerda         |         2 |         0 |      0 |           2 |   100.0
      2023 | 1555497-62  | PRL 1 CCJC => PEC 86/2015                                        |                 2.679 | Esquerda         | esquerda         |         8 |         0 |      0 |           8 |   100.0
      2023 | 1555497-62  | PRL 1 CCJC => PEC 86/2015                                        |                 3.855 | Centro-esquerda  | esquerda         |         1 |         0 |      0 |           1 |   100.0
      2023 | 1555497-62  | PRL 1 CCJC => PEC 86/2015                                        |                 6.778 | Centro-direita   | direita          |         3 |         2 |      0 |           5 |    60.0
      2023 | 1555497-62  | PRL 1 CCJC => PEC 86/2015                                        |                 8.187 | Direita          | direita          |         7 |         6 |      0 |          13 |    53.8
      2023 | 1555497-62  | PRL 1 CCJC => PEC 86/2015                                        |                 8.796 | Extrema direita  | direita          |         0 |        13 |      0 |          13 |     0.0
